industry,S048-tpmr_1947,S048-tvr_1947,S048-tdr_1947,S048-tprr_1947,S048-tpm_1947,S048-td_1947,S048-tv_1947,S048-tpr_1947,S048-tpmr_1958,S048-tvr_1958,S048-tdr_1958,S048-tprr_1958,S048-tpm_1958,S048-td_1958,S048-tv_1958,S048-tpr_1958,S048-tpmr_1963,S048-tvr_1963,S048-tdr_1963,S048-tprr_1963,S048-tpm_1963,S048-td_1963,S048-tv_1963,S048-tpr_1963,S048-tpmr_1967,S048-tvr_1967,S048-tdr_1967,S048-tprr_1967,S048-tpm_1967,S048-td_1967,S048-tv_1967,S048-tpr_1967,S048-tpmr_1972,S048-tvr_1972,S048-tdr_1972,S048-tprr_1972,S048-tpm_1972,S048-td_1972,S048-tv_1972,S048-tpr_1972,S048-tpmr_1998circ,S048-tvr_1998circ,S048-tdr_1998circ,S048-tprr_1998circ,S048-tpm_1998circ,S048-td_1998circ,S048-tv_1998circ,S048-tpr_1998circ,S048-tpmr_1998fixed,S048-tvr_1998fixed,S048-tdr_1998fixed,S048-tprr_1998fixed,S048-tpm_1998fixed,S048-td_1998fixed,S048-tv_1998fixed,S048-tpr_1998fixed,S048-pctNMAWD,S048-CVpv,S048-dpv
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.203,0.282
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,0.206,0.285
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251,0.209,0.289
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,0.211,0.293
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,0.214,0.296
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.217,0.3
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,0.22,0.303
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.222,0.307
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,0.225,0.311
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,0.228,0.314
