Year,"Sahr/MeasuringWorth: Inflation conversion factors, 1780-2010","US CPI, 1982-84=100. Sahr (1780-1785), MeasuringWorth (1786-2010)","BLS Manufacturing Productivity, Output per hour index, 1958=100, 1889-2010","BLS Manufacturing Output per hour in 1958 dollars, 1889-2010","BLS Manufacturing Real Unit Labor Cost, 1889=100, 1889-2010","BLS Manufacturing Real Compensation, 1889=100, 1889-2010","Mfg Production Worker Real Compensation (comp/hr / CPI), 1790-2010. Sources: MeasuringWorth + BLS","MeasuringWorth, US CPI 1982-84=100, 1774-2024. Citation: Officer & Williamson 2025. Extends S008 CPI component only","Combined: Shaikh (1780-2010) + MeasuringWorth CPI (2011-2024), re-indexed at splice year 2010"
,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-EXT,S008-COMBINED
1833,0.06,8.14,28.146611341632088,0.21316953316953316,,,,8.14,1.029633
1834,0.05,8.3,28.699861687413556,0.17421686746987952,,,,8.3,1.049872
1835,0.05,8.54,29.52973720608575,0.16932084309133494,,,,8.54,1.080229
1836,0.05,9.02,31.18948824343015,0.16031042128603104,,,,9.02,1.140945
1837,0.06,9.27,32.05394190871369,0.1871844660194175,,,,9.27,1.172568
1838,0.06,9.02,31.18948824343015,0.19237250554323726,,,,9.02,1.140945
1839,0.06,9.02,31.18948824343015,0.19237250554323726,,,,9.02,1.140945
1840,0.06,8.38,28.97648686030429,0.20706443914081143,,,,8.38,1.059991
1841,0.06,8.46,29.253112033195023,0.20510638297872338,,,,8.46,1.07011
1842,0.06,7.9,27.31673582295989,0.21964556962025317,,,,7.9,0.999276
1843,0.06,7.17,24.792531120331947,0.24200836820083685,,,,7.17,0.906937
1844,0.06,7.25,25.069156293222683,0.23933793103448275,,,,7.25,0.917057
1845,0.06,7.33,25.345781466113415,0.23672578444747613,,,,7.33,0.927176
1846,0.06,7.41,25.622406639004147,0.23417004048582998,,,,7.41,0.937295
1847,0.06,7.98,27.59336099585062,0.2174436090225564,,,,7.98,1.009395
1848,0.07,7.65,26.452282157676347,0.2646274509803922,,,,7.65,0.967653
1849,0.06,7.41,25.622406639004147,0.23417004048582998,,,,7.41,0.937295
1850,0.06,7.57,26.175656984785615,0.22922060766182298,,,,7.57,0.957534
1851,0.06,7.41,25.622406639004147,0.23417004048582998,,,,7.41,0.937295
1852,0.07,7.49,25.89903181189488,0.2702803738317758,,,,7.49,0.947414
1853,0.07,7.49,25.89903181189488,0.2702803738317758,,,,7.49,0.947414
1854,0.07,8.14,28.146611341632088,0.24869778869778875,,,,8.14,1.029633
1855,0.07,8.38,28.97648686030429,0.24157517899761335,,,,8.38,1.059991
1856,0.07,8.22,28.423236514522824,0.24627737226277374,,,,8.22,1.039752
1857,0.07,8.46,29.253112033195023,0.239290780141844,,,,8.46,1.07011
1858,0.08,7.98,27.59336099585062,0.2899248120300752,,,,7.98,1.009395
1859,0.08,8.06,27.869986168741352,0.28704714640198514,,,,8.06,1.019514
1860,0.08,8.06,27.869986168741352,0.28704714640198514,,,,8.06,1.019514
1861,0.08,8.54,29.52973720608575,0.2709133489461359,,,,8.54,1.080229
1862,0.09,9.75,33.71369294605809,0.26695384615384615,,,,9.75,1.233283
1863,0.1,12.17,42.08160442600276,0.23763352506162697,,,,12.17,1.53939
1864,0.11,15.23,52.6625172890733,0.2088772160210112,,,,15.23,1.926451
1865,0.11,15.79,54.59889349930843,0.2014692843571881,,,,15.79,1.997286
1866,0.11,15.39,53.21576763485477,0.2067056530214425,,,,15.39,1.94669
1867,0.11,14.34,49.585062240663895,0.22184100418410044,,,,14.34,1.813875
1868,0.11,13.78,47.64868603042876,0.23085631349782296,,,,13.78,1.74304
1869,0.11,13.21,45.677731673582294,0.24081756245268737,,,,13.21,1.67094
1870,0.11,12.65,43.74135546334716,0.2514782608695652,,,,12.65,1.600106
1871,0.12,11.84,40.94052558782849,0.2931081081081081,,,,11.84,1.497648
1872,0.12,11.84,40.94052558782849,0.2931081081081081,,,,11.84,1.497648
1873,0.12,11.6,40.11065006915629,0.29917241379310344,,,,11.6,1.467291
1874,0.12,11.04,38.17427385892116,0.31434782608695655,,,,11.04,1.396456
1875,0.12,10.64,36.791147994467494,0.3261654135338346,,,,10.64,1.34586
1876,0.11,10.39,35.92669432918395,0.30617901828681426,,,,10.39,1.314237
1877,0.11,10.15,35.096818810511756,0.3134187192118227,,,,10.15,1.283879
1878,0.11,9.67,33.43706777316736,0.328976215098242,,,,9.67,1.223164
1879,0.11,9.67,33.43706777316736,0.328976215098242,,,,9.67,1.223164
1880,0.11,9.91,34.26694329183955,0.32100908173562065,,,,9.91,1.253522
1881,0.11,9.91,34.26694329183955,0.32100908173562065,,,,9.91,1.253522
1882,0.11,9.91,34.26694329183955,0.32100908173562065,,,,9.91,1.253522
1883,0.11,9.71,33.57538035961273,0.327621009268795,,,,9.71,1.228223
1884,0.12,9.51,32.88381742738589,0.3649211356466877,,,,9.51,1.202925
1885,0.12,9.32,32.2268326417704,0.3723605150214592,,,,9.32,1.178892
1886,0.12,9.12,31.535269709543563,0.38052631578947377,,,,9.12,1.153594
1887,0.13,9.22,31.881051175656985,0.407765726681128,,,,9.22,1.166243
1888,0.13,9.22,31.881051175656985,0.407765726681128,,,,9.22,1.166243
1889,0.13,8.92,30.843706777316733,0.42147982062780276,99.99999999999999,100.0,95.4446317272144,8.92,95.4446317272144
1890,0.13,8.82,30.497925311203318,0.42625850340136057,101.13378684807255,93.94017021034354,94.4340332273713,8.82,94.4340332273713
1891,0.13,8.82,30.497925311203318,0.42625850340136057,101.13378684807255,92.3938299599675,93.4689884102562,8.82,93.4689884102562
1892,0.13,8.82,30.497925311203318,0.42625850340136057,101.13378684807255,84.08876659277942,92.5901106263232,8.82,92.5901106263232
1893,0.14,8.72,30.152143845089906,0.4643119266055046,110.1623147494707,95.90601519365683,91.8272233419239,8.72,91.8272233419239
1894,0.13,8.34,28.838174273858918,0.45079136690647487,106.95443645083932,92.03056159723383,91.1251489171467,8.34,91.1251489171467
1895,0.13,8.14,28.146611341632088,0.4618673218673219,109.58230958230956,88.78566688785665,90.4695374786609,8.14,90.4695374786609
1896,0.13,8.14,28.146611341632088,0.4618673218673219,109.58230958230956,93.9276939276939,89.8550876639643,8.14,89.8550876639643
1897,0.13,8.04,27.800829875518666,0.46761194029850756,110.9452736318408,88.91642868689046,89.2597027357679,8.04,89.2597027357679
1898,0.13,8.04,27.800829875518666,0.46761194029850756,110.9452736318408,88.27903493286259,88.7020350801435,8.04,88.7020350801435
1899,0.13,8.04,27.800829875518666,0.46761194029850756,110.9452736318408,86.11835925268761,88.1973400558048,8.04,88.1973400558048
1900,0.14,8.14,28.146611341632088,0.4973955773955775,118.011718011718,90.34000482276343,87.7566526706642,8.14,87.7566526706642
1901,0.14,8.24,28.492392807745503,0.491359223300971,116.57953696788648,81.90081394579366,87.3702345320761,8.24,87.3702345320761
1902,0.15,8.34,28.838174273858918,0.5201438848920864,123.40896513558384,91.01923674451699,87.0541807206883,8.34,87.0541807206883
1903,0.15,8.53,29.495159059474407,0.5085580304806566,120.66011362611597,87.53772949345668,86.7698839718278,8.53,86.7698839718278
1904,0.15,8.63,29.84094052558783,0.5026651216685979,119.26196630715748,86.52338732087895,86.5183952136148,8.63,86.5183952136148
1905,0.16,8.53,29.495159059474407,0.542461899179367,128.70412120119036,91.28535113950241,86.308466534451,8.53,86.308466534451
1906,0.16,8.72,30.152143845089906,0.5306422018348623,125.89978828510935,82.93695252016103,86.1488660706022,8.72,86.1488660706022
1907,0.17,9.11,31.500691562932225,0.5396706915477497,128.04188128008104,83.85043552854864,86.0981772929894,9.11,86.0981772929894
1908,0.16,8.92,30.843706777316733,0.5187443946188341,123.07692307692307,85.11861969805892,86.1828950118278,8.92,86.1828950118278
1909,0.17,8.82,30.497925311203318,0.5574149659863946,132.25187510901796,83.88547506914853,86.4070322644024,8.82,86.4070322644024
1910,0.18,9.21,31.846473029045644,0.5652117263843648,134.10172889000248,87.8188313084972,86.7639731378804,9.21,86.7639731378804
1911,0.18,9.21,31.846473029045644,0.5652117263843648,134.10172889000248,84.33593148323101,87.2219313967844,9.21,87.2219313967844
1912,0.19,9.4,32.50345781466113,0.5845531914893617,138.69067103109654,88.47508324397538,87.7596810742588,9.4,87.7596810742588
1913,0.2,9.6,33.19502074688796,0.6025,142.94871794871793,85.53804685880155,88.3271768894797,9.6,88.3271768894797
1914,0.2,9.69,33.50622406639004,0.5969040247678019,141.6210208779868,92.74296942452233,88.8815767508808,9.69,88.8815767508808
1915,0.2,9.74,33.67911479944675,0.5938398357289527,140.89401358395196,89.88066383803832,89.352166798001,9.74,89.352166798001
1916,0.24,10.64,36.791147994467494,0.6523308270676692,154.77154424522845,89.01368606849925,89.7068174028704,10.64,89.7068174028704
1917,0.29,12.82,44.32918395573997,0.6541965678627144,155.21420856834268,96.51975995006183,89.918677269539,12.82,89.918677269539
1918,0.36,15.06,52.0746887966805,0.6913147410358566,164.02083971805087,90.80455465687602,89.9539269280281,15.06,89.9539269280281
1919,0.43,17.3,59.82019363762102,0.718820809248555,170.54690973766117,87.84550803192755,89.8447601356636,17.3,89.8447601356636
1920,0.54,20.04,69.29460580912863,0.7792814371257486,184.8917549516352,95.45574325410003,89.6318313804912,20.04,89.6318313804912
