,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S010,S010A,S010AA,S010AB,S010AC,S010AD,S010AE,S010AF,S010AG,S010AH,S010AI,S010AJ,S010AK,S010AL,S010AM,S010AN,S010AO,S010AP,S010AQ,S010AR,S010AS,S010B,S010C,S010D,S010E,S010F,S010G,S010H,S010I,S010J,S010K,S010L,S010M,S010N,S010O,S010P,S010Q,S010R,S010S,S010T,S010U,S010V,S010W,S010X,S010Y,S010Z
1884,-0.0225261256458007,9.51,20.649999999999995,3.884837647058824,0.0,72.8898692498687,79.7892832096201,-0.132260282466468,74.502435982118,78.8947056031416,,,,,,,,,-0.0721893491124259,-0.0259404819799702,-0.0775,32.88381742738589,20.67,100.0,56.94610778443114,73.8,,73.80000000000001,4.24,,4.85,,4.24,99.76470588235294,78.4,,,78.4,78.58490566037737,-10.4279979415006,-9.92423276428772,-10.1761153528942,-10.0166013776881,81.24352331606218,87.56246401842257,81.05191123276958
1885,-0.0230189363464274,9.32,20.649999999999995,3.884837647058824,0.0,71.1934282862772,77.7437846574522,-0.172531531529407,70.7127756011156,75.5039590134264,,,,,,,,,-0.0535714285714286,-0.0244617242124549,-0.0853658536585365,32.2268326417704,20.67,100.0,55.808383233532936,67.5,,67.50000000000001,4.24,,4.86,,4.24,99.76470588235294,74.2,,,74.2,74.375,-16.967567511094,-14.0028462991264,-15.4852069051102,-11.9487160193694,76.89119170984456,83.04248704663213,76.7098445595855
1886,-0.0227056348085501,9.12,20.649999999999995,3.884837647058824,0.0,69.4955049945217,75.9278943781972,-0.137345594561235,68.0998108808299,73.1149511632589,,,,,,,,,-0.04177897574124,-0.0221097560060107,-0.037037037037037,31.535269709543563,20.67,100.0,54.610778443113766,65.0,,65.00000000000001,4.24,,4.86,,4.24,99.76470588235294,71.1,,,71.1,71.26768867924527,-19.7082396558292,-17.0099462949471,-18.3590929753882,-13.7773140315172,73.67875647668393,79.57305699481864,73.50498582461628
1887,-0.0219900731785026,9.22,20.649999999999995,3.884837647058824,0.0,67.8465975935042,74.3706461640571,-0.129600116584033,66.8526044972113,72.1536917054149,,,,,,,,,-0.0140646976090014,-0.019290025255446,0.0384615384615384,31.881051175656985,20.67,100.0,55.20958083832336,67.5,,67.50000000000001,4.24,,4.85,,4.24,99.76470588235294,70.1,,,70.1,70.26533018867923,-17.4497320816685,-17.9255645964091,-17.6876483390388,-15.4625458286378,72.64248704663211,78.29245826137016,72.47116042623912
1888,-0.0214194176249036,9.22,20.649999999999995,3.884837647058824,0.0,66.2522492521811,73.0541948634518,-0.194182532524078,66.1269488326004,72.4212065715836,,,,,,,,,0.0299572039942939,-0.0166046720529217,0.0103703703703704,31.881051175656985,20.67,100.0,55.20958083832336,68.2,,68.2,4.24,,4.87,,4.24,99.76470588235294,72.2,,,72.2,72.37028301886792,-16.9917624945745,-15.7597138876488,-16.3757381911116,-17.0103796146763,74.81865284974093,80.97040875071963,74.64219376283117
1889,-0.0209363181999714,8.92,20.649999999999995,3.884837647058824,0.0,64.7145371635742,71.9193888631608,-0.182826195640312,65.2944347702673,73.080624458316,,,,,,,,,0.0277008310249307,-0.0146035832141341,-0.060117302052786,30.843706777316733,20.67,100.0,53.41317365269461,64.1,,64.1,4.24,,4.87,,4.24,99.76470588235294,74.2,,,74.2,74.375,-21.3340486005094,-13.7023876922792,-17.5182181463943,-18.4490346186817,76.89119170984456,83.21335636154289,76.7098445595855
1890,-0.0201655270759714,8.82,20.649999999999995,3.884837647058824,0.0,63.2550160281832,70.8999346013288,-0.191583605945103,64.4176702492819,73.2680052049684,,,,,,,,,0.0,-0.0133710267943074,0.0140405616224649,30.49792531120332,20.67,100.0,52.81437125748504,65.0,,65.00000000000001,4.24,,4.86,,4.24,99.76470588235294,74.2,,,74.2,74.375,-20.6763081054356,-13.6735603733906,-17.1749342394131,-19.8003836554675,76.89119170984456,83.04248704663213,76.7098445595855
1891,-0.0191236062636974,8.82,20.649999999999995,3.894,0.0,61.8890951748721,69.9538446274693,-0.263042074355162,63.1611182852916,72.5425338314585,,,,,,,,,0.0,-0.0125682267062751,-0.0061538461538462,30.49792531120332,20.67,100.0,52.81437125748504,64.6,,64.6,4.25,,4.86,,4.25,100.0,74.2,,,74.2,74.2,-21.3182587153155,-13.8431871335506,-17.580722924433,-21.076991375124,76.89119170984456,83.04248704663213,76.5293508076806
1892,-0.0174850568869586,8.82,20.649999999999995,3.894,0.0,60.6496337722231,69.0736321450822,-0.239415397953797,61.3833518108499,70.8240602893813,,,,,,,,,-0.055256064690027,-0.0117226965949278,-0.06656346749226,30.49792531120332,20.67,100.0,52.81437125748504,60.3,,60.30000000000001,4.25,,4.87,,4.25,100.0,70.1,,,70.1,70.1,-25.8596181361114,-17.9512040148032,-21.9054110754573,-22.2651679335814,72.64248704663211,78.61531375935519,72.30064004876563
1893,-0.0147946824684659,8.72,20.649999999999995,3.894,0.0,59.5966000370699,68.2957719113927,-0.352896249693027,59.4225709967464,68.6349232531787,69.0,60.0,,,,,,,0.0,-0.0102362678380931,0.0265339966832504,30.152143845089903,20.67,100.0,52.21556886227546,61.9,,61.900000000000006,4.25,,4.86,,4.25,100.0,70.1,,,70.1,70.1,-24.5001040737857,-17.9775278986696,-21.2388159862276,-23.3162608022627,72.64248704663211,78.45388601036268,72.30064004876563
