Year,"Adjustment Credit 1940-2002, Primary Credit 2003+","ERP 2012, Table B-73",Calculated,"FRB, H.15 1966+",Calculated,"ERP2012, B-73",Calculated,"ERP2012, B-73","ERP2012, B-73",Calculated,Calculated,Calculated,"ERP2012, B-73",Calculated,Appendix 6.8A.3,Est using ib Corp Aaa,Ibbotson rbcorplong*100,Ibbotson rbcorp*100,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,Shiller S&P Composite Stock Price Index,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",Appendix Table 6.8.II.7 - pIGcorpbea,Calculated_peq / pIGcorpbea,Calculated_dv /pIGcorpbea,Calculated_e / pIGcorpbea,Calculated_(Δpreq + dvr)/preq(-1),Appendix Table 6.8.II.7 - iroprcorp,Appendix Table 6.8.II.7 - iroprcorpnipa,Appendix Table 6.8.II.7 - rcorp,"Shiller (2014, p. 10) discount rate",Calculated_initial value = real peq + adj parameter (6.75),Calculated_final value = real peq + adj parameter (290),Shiller Real P* = PV of Real Dividends w/ Constant r - http://www.econ.yale.edu/~shiller/data.htm,Shiller,Calculated_pstarshiller='= prstarshiller*cpi/cpi2005,Calculated_pstarshiller*100/pIGcorpbea,"Adjustment Credit 1940-2002, Primary Credit 2003+ ERP 2012, Table B-73 Calculated FRB, H.15 1966+ Calculated ERP2012, B-73 Calculated ERP2012, B-73 ERP2012, B-73 Calculated Calculated Calculated ERP20",HP filtered value
1988,6.2,7.57,1.2209677419354839,7.73,1.2467741935483871,6.69,0.8654592496765847,7.76,9.71,1.2516129032258063,1.5661290322580645,0.7991761071060761,0.0932,9.32,0.08039051801644775,0.06191876332622601,0.107,0.107,98.0,250.48,9.73,23.76,10.542087542087542,100.28708590508437,249.76296572927058,9.702146504893815,23.69198365429363,-0.03938442689292015,0.13325542097379225,0.13829273960953406,0.07732670971084812,0.076,336.0079304623967,336.1240524415255,478.0064784103841,115.7,290.0123206716384,289.1821195663392,-0.1726398478667124,-0.005037318635741805
1989,6.93,9.21,1.3290043290043292,9.09,1.3116883116883118,8.12,0.8932893289328933,7.24,9.26,1.0447330447330447,1.3362193362193362,0.7818574514038877,0.10869999999999999,10.87,0.07363181259298376,0.13894397528321328,0.1623,0.1623,65.0,285.41,11.05,22.87,12.479667686926105,102.17910430165576,279.3232549361613,10.814344161187702,22.382267055779433,0.16165180153987402,0.06974879910377059,-0.005396095941438379,0.07593694924828781,0.076,348.62973594030444,348.75395728802704,489.51340561991145,121.1,310.85513067945084,304.22573460982437,0.09190300243610343,0.07514489504520896
1990,6.98,8.1,1.160458452722063,8.15,1.167621776504298,7.51,0.9214723926380367,7.25,9.32,1.0386819484240688,1.335243553008596,0.7778969957081545,0.1001,10.01,0.06978527770031989,0.08672051835853127,0.0678,0.0678,74.0,339.97,12.1,21.34,15.931115276476103,103.8481778936454,327.37213776458873,11.651624752041426,20.549229108145788,0.21373267898554776,0.024543904586603178,0.022350645725309308,0.07200073510536638,0.076,345.53484616323453,345.66211638786325,500.20475743306883,127.4,334.16930307799146,321.7863903401618,0.18918877439894458,0.0021932588612938696
1991,5.45,5.69,1.0440366972477064,5.83,1.0697247706422017,5.42,0.9296740994854202,6.89,8.77,1.2642201834862383,1.6091743119266053,0.7856328392246295,0.08460000000000001,8.46,0.07040193711907607,0.14671287553648077,0.1989,0.1989,107.0,325.5,12.2,15.91,20.458830923947204,105.1480612868466,309.5634822139304,11.602686583747928,15.131044553067996,-0.018956924707419893,0.0370140242977081,0.06341642095995922,0.06937572544951463,0.076,346.72179477107744,346.8537757788929,510.81881176896286,134.6,360.546471232839,342.8940741467967,-0.055970949005127994,-0.026402396662251124
1992,3.25,3.52,1.083076923076923,3.68,1.1323076923076925,3.45,0.9375,6.41,8.14,1.9723076923076923,2.5046153846153847,0.7874692874692875,0.0625,6.25,0.07723047290757071,0.15323580387685282,0.09390000000000001,0.09390000000000001,110.0,416.08,12.38,19.09,21.795704557359873,104.1045789241972,399.675023231173,11.891888068645265,18.337329824752675,0.3295073060826866,0.07499077658227603,0.12535928385674114,0.06910071148592736,0.076,360.8308433503158,360.97272171640145,522.507322839448,138.1,378.3862678769154,363.46745915223755,0.25451652950041054,-0.05036850727446511
1993,3.0,3.02,1.0066666666666666,3.17,1.0566666666666666,3.02,0.9526813880126184,5.63,7.22,1.8766666666666667,2.4066666666666667,0.7797783933518005,0.06,6.0,0.08298300707610497,0.1852221130221131,0.1319,0.1319,109.0,435.23,12.58,21.88,19.89168190127971,104.06628375820375,418.223832236817,12.088449347561422,21.025061345361202,0.07665542396299492,0.09008062481490402,0.12543201926968733,0.0696181531750524,0.076,381.2462618242395,381.4009206821899,535.3334216400422,142.6,400.3070053794967,384.6654179653453,-0.013425200851909097,-0.035351394454783316
1994,3.6,4.21,1.1694444444444445,4.63,1.286111111111111,4.29,0.9265658747300216,6.19,7.96,1.7194444444444446,2.2111111111111112,0.7776381909547739,0.07150000000000001,7.15,0.09370405567739336,-0.022893074792243798,-0.0576,-0.0576,86.0,472.99,13.18,30.6,15.45718954248366,104.42405303811519,452.95119873134666,12.62161314040286,29.303593482270678,0.11321444639271883,0.1834304860350543,0.19231627810850338,0.07520974008617509,0.076,438.5568357893045,438.73986379673835,549.18600052048,146.2,421.0330009234094,403.1954216235322,-0.07021603964233547,-0.008885792073449084
1995,5.21,5.83,1.1190019193857965,5.92,1.1362763915547025,5.51,0.9307432432432432,5.95,7.59,1.1420345489443378,1.4568138195777351,0.7839262187088274,0.0883,8.83,0.10088422470264569,0.12238241206030151,0.272,0.272,82.0,465.25,13.79,33.96,13.699941107184923,104.79843456111482,443.9474711129223,13.15859350165975,32.405064199881444,0.009172877552532344,0.14505241942746389,0.16808545911210554,0.07877719254260983,0.076,489.0119723753363,489.22154903807143,563.5397663101088,150.3,444.15326101945135,423.81669428510077,-0.13587954187493154,-0.023033039684641654
1996,5.02,5.3,1.0557768924302788,5.39,1.0737051792828685,5.02,0.9313543599257885,5.75,7.37,1.1454183266932272,1.4681274900398409,0.7801899592944369,0.0827,8.27,0.10846857867589456,0.10268550724637679,0.013999999999999999,0.013999999999999999,80.0,614.42,14.9,38.73,15.864187967983476,103.11019505475652,595.8867594748639,14.450559415669204,37.56175611871599,0.3747962509179108,0.23496825570050367,0.18545162094671924,0.0829978108581585,0.076,589.4637031253628,589.7225236509763,578.4329909533343,154.4,468.32749765702584,454.200961804331,0.13982799521740713,0.04951663475378443
1997,5.0,5.46,1.092,5.62,1.124,5.07,0.902135231316726,5.55,7.26,1.1099999999999999,1.452,0.7644628099173554,0.08439999999999999,8.44,0.11480490039290903,0.0875253731343284,0.1295,0.1295,88.0,766.22,15.5,39.72,19.290533736153073,101.36898458895945,755.8722257176998,15.290673042499998,39.18358279019999,0.2941433695217549,0.1764878588973229,0.18409659262224404,0.08603987526455877,0.076,678.2062169451453,678.510716151163,593.2345862172806,159.1,494.932473346457,488.24842761654963,0.117655510624432,-0.0076087337249211295
1998,4.92,5.35,1.0873983739837398,5.47,1.1117886178861789,4.81,0.8793418647166361,5.12,6.53,1.0406504065040652,1.3272357723577237,0.7840735068912711,0.08349999999999999,8.35,0.10012358173491831,0.16585096418732775,0.1076,0.1076,,963.36,16.2,37.7,25.553315649867372,98.74132897521376,975.6400992352701,16.40650391090701,38.180567743283596,0.3124527789127719,0.060699689047568624,0.005104506344024613,0.0793794459822517,0.076,702.9666195129365,703.2896017260748,608.4474258771461,161.6,515.600964980319,522.173410396113,0.2517530898652033,0.05559518270354401
1999,4.62,4.97,1.0757575757575757,5.33,1.1536796536796536,4.66,0.874296435272045,5.43,7.04,1.1753246753246753,1.5238095238095237,0.7713068181818181,0.08,8.0,0.09855717572234457,-0.007701071975497659,-0.0745,-0.0745,,1248.77,16.69,48.17,25.924226697114385,97.20732787317762,1284.6459493560183,17.16948749149319,49.55387731966607,0.3343193231478548,0.12254337168588664,0.10660968736549342,0.0787578405987496,0.076,771.9410317591883,772.3035933017192,623.9952769794621,164.3,537.6110330766945,553.0560759556043,0.21177595146196815,0.015933684320393215
2000,5.73,6.24,1.0890052356020943,6.46,1.1273996509598603,5.85,0.9055727554179566,5.77,7.62,1.006980802792321,1.3298429319371727,0.7572178477690288,0.09230000000000001,9.23,0.08595037563226843,-0.006186363636363643,0.12869999999999998,0.12869999999999998,,1425.59,16.27,50.0,28.511799999999997,97.14211528657755,1467.530324817807,16.748657317170938,51.470981306610135,0.15539926224734057,0.04926210833552673,-0.0032652472296094965,0.07375504906210731,0.076,793.2198171771768,793.6002392656941,640.4912359357879,168.8,566.937182097331,583.616262035079,0.10613715391181384,0.05252735556513623
2001,3.4,3.88,1.1411764705882352,3.71,1.0911764705882354,3.44,0.9272237196765498,5.19,7.08,1.5264705882352942,2.0823529411764707,0.7330508474576272,0.0691,6.909999999999999,0.07512367461174296,0.14166614173228348,0.1065,0.1065,,1330.93,15.74,24.69,53.90562980963953,96.71208367018076,1376.1775669510941,16.275112067359082,25.52938481214077,-0.05115917847126915,0.008170456653117567,-0.009773993148534395,0.0659292913870848,0.076,783.4256732424577,783.8092035531591,659.5256479441505,175.1,605.5738906922955,626.1615588363258,-0.059329635124386715,0.01794444980165196
2002,1.17,1.67,1.4273504273504274,1.73,1.4786324786324787,1.62,0.9364161849710984,5.05,6.49,4.316239316239316,5.547008547008548,0.7781201848998459,0.0467,4.67,0.0833725002102658,0.14823333333333333,0.16329999999999997,0.16329999999999997,,1140.21,16.07,27.59,41.32693004711852,96.2999096232257,1184.0198027818326,16.687450759688172,28.65007880894814,-0.12750557604156118,0.07722045403327409,0.13135460983773486,0.06552067888843792,0.076,827.2347086718755,827.6478553673048,680.7947324208302,177.1,632.2430367683746,656.5354414578699,-0.20472603007483525,-0.05413415580446078
2003,2.12,1.13,0.5330188679245282,1.15,0.5424528301886792,1.01,0.8782608695652174,4.73,5.67,2.2311320754716983,2.6745283018867925,0.834215167548501,0.0412,4.12,0.09150249978089449,0.18304822804314333,0.0527,0.0527,,895.84,17.39,48.74,18.37997537956504,96.10331842538598,932.1634410527922,18.095108769320476,50.71625080026912,-0.19743018859186492,0.09976838279811491,0.13550186269688771,0.06712964163858748,0.076,891.6714689812177,892.1258346543084,703.5592857889544,181.7,670.355124425029,697.5358763969098,-0.29719857138997985,-0.035733479898772805
2004,2.34,1.35,0.576923076923077,1.57,0.670940170940171,1.38,0.8789808917197451,4.63,5.63,1.9786324786324787,2.405982905982906,0.822380106571936,0.0434,4.34,0.11473666441043635,,,,,1080.64,19.44,58.55,18.45670367207515,97.21161957365193,1111.6366590120003,19.997609427000008,60.229425511875014,0.21398696687881721,0.23399438615982346,0.2732286575758339,0.0775171954142376,0.076,1080.3199775947057,1080.8806622845634,726.4720802765978,185.2,705.5198178669424,725.7566749337084,-0.020007419281006245,-0.03923427141601046
2005,4.19,3.22,0.7684964200477327,3.51,0.8377088305489259,3.16,0.9002849002849004,4.29,5.24,1.0238663484486872,1.2505966587112172,0.8187022900763359,0.061900000000000004,6.19,0.1234104296665064,,,,,1199.21,22.22,69.93,17.148720148720148,100.0,1199.21,22.22,69.93,0.09876729064115405,0.16602402095016847,0.1766808375462107,0.08219533030333609,0.076,1237.4590441877747,1238.1128160043277,748.9084678991136,190.7,748.9084678991136,748.9084678991136,-0.06725673030901441,-0.010656816596042229
2006,5.96,4.97,0.8338926174496644,5.16,0.865771812080537,4.73,0.9166666666666667,4.42,5.59,0.7416107382550335,0.9379194630872483,0.7906976744186046,0.0796,7.960000000000001,0.12623119434257124,,,,,1262.07,24.88,81.51,15.483621641516377,103.5913119382049,1218.3164556819784,24.017458157921208,78.68420476093883,0.03596026871015047,0.09608433635981628,0.11153485180482416,0.08222174994844647,0.076,1332.3420170630884,1333.0586061107656,770.3294040624263,198.3,801.0294747015163,773.2593204141991,-0.06012406764966581,-0.015450515445007876
2007,5.86,5.02,0.8566552901023889,5.27,0.8993174061433445,4.41,0.8368121442125238,4.42,5.56,0.7542662116040955,0.9488054607508531,0.7949640287769785,0.0805,8.05,0.10024037977267923,,,,,1416.42,27.73,66.18,21.40253853127833,105.7331465364208,1339.6177512906045,26.226401945248202,62.59153554765692,0.12109144292177565,-0.07428632023290407,-0.148342806387135,0.07102421933566064,0.076,1207.1408293785382,1207.8041856627444,790.4844566913432,202.416,839.049301445385,793.55370470921,0.19537776315467972,0.07405648615423094
2008,2.3899999999999997,1.92,0.8033472803347281,2.97,1.2426778242677827,1.48,0.49831649831649827,4.8,5.63,2.0083682008368204,2.3556485355648538,0.8525754884547069,0.0509,5.09,0.07002046993935722,,,,,1479.22,28.39,26.16,56.54510703363914,107.97749489168886,1369.933615781502,26.292515888128097,24.227270716218072,0.04225711425851778,-0.19323625012382256,-0.23529283657078345,0.055949314688168855,0.076,947.5849462499403,948.1201180532905,809.8964356321626,211.18,896.8743013990567,830.6122514684215,0.23549336438234034,0.04205658644696089
2009,0.5,0.16,0.32,0.55,1.1,0.16,0.2909090909090909,4.64,5.31,9.28,10.62,0.8738229755178908,0.0325,3.25,0.07656906550289798,,,,,865.58,22.41,50.97,16.98214636060428,106.52787343717426,812.5385141668892,21.036747732711,47.846632393408285,-0.39152141950756286,0.13034514527972388,0.1350260102817996,0.05794024511788321,0.076,1050.0612960010571,1050.6662248508646,829.8036936104916,211.143,918.7584755112744,862.458289898296,-0.5218665647872868,-0.004680865002075735
2010,0.72,0.18,0.25,0.31,0.4305555555555556,0.14,0.4516129032258065,4.16,4.94,5.777777777777779,6.861111111111112,0.8421052631578947,0.0325,3.25,0.10409807370550715,,,,,1123.58,22.73,77.35,14.525921137685843,105.99042500094215,1060.0768890114484,21.445333387235642,72.97829025528713,0.331041179638837,0.3415192800486044,0.30415470413839835,0.07287654774727866,0.076,1387.232140431007,1388.0436641460815,,216.687,,,-0.010478100409767377,0.03736457591020603
2011,0.75,0.1,0.13333333333333333,0.3,0.39999999999999997,0.06,0.2,4.29,4.64,5.72,6.1866666666666665,0.9245689655172414,0.0325,3.25,0.10885279879022157,,,,,1282.62,26.43,86.95,14.751236342725702,108.16755694676989,1185.7714421997969,24.434313528044655,80.38454639665088,0.14162073362092864,0.08080588131264715,0.06888604578238343,0.07537310407936645,0.076,1474.8943425957198,1475.7714421997969,,220.223,,,0.060814852308281486,0.011919835530263725
2012,,,,,,,,,,,,,,,,,,,,1300.58,,101.7315,,109.735574690735,1185.1945038474457,,,,,,,,,,,226.665,,,,
2013,,,,,,,,,,,,,,,,,,,,1480.4,,,,110.96791245557486,1334.0793453176534,,,,,,,,,,,230.28,,,,
