Year,"BEA Current-Cost Corporate Net Stock; Source: FA Table 6.1, line 2: Bill-$","BEA Chain-Index Real Corporate Net Stock; Source: FA Table 6.2, line 2: 2005 = 100",BEA Constant-Cost Corporate Net Stock; Source: KNRIndex(t)*KNC(2005)/100: Bills-2005$,"Implicit Price Deflator, Net Corporate Capital Stock; Source: (KNCcorp/KNRcorp)*100","BEA Historical-Cost Corporate Net Stock; Source: FA Table 6.3, line 2: Bill-$","Current-Cost Corporate Depreciation; Source: FA Table 6.4, line 2: Bill-$",Correct Depreciation Rate; Source: DEPcorp/[(pKN/100)*KNR(-1)],"Historical-Cost Corporate Depreciation; Source: FA Table 6.6, line 2: Bill-$","Current-Cost Gross Investment; Source: FA Table 6.7, line 2: Bill-$","Chain-Type Quantity Index Gross Investment; Source: FA Table 6.8, line 2: Bill-$",Constant-Cost Quantity Index Gross Investment; Source: (IGRcorpindexbea(t)/100)*IGCcorpbea(2005): Bills-2005$,"Implicit Price Deflator, Gross Investment; Source: (IGCcorpbea/IGRcorpbea)*100",Current-cost approximation using Ch 6 eq. 6.57; Source: KNC' = IGC + (1-d)*(pKN/pKN(-1))*KNC'(-1),Constant-cost approximation using Ch 6 eq. 6.58; Source: KNR' = (IGC*100/pKN) + (1-d)*KNR'(-1),"Historical-cost approximation using Ch 6 eq. 6.59; Source: KNH = INH + KNH(-1)                                                                              where INH = IGC - DEPH, DEPH = hist cost deprec",Whelan-Liu Depreciation Rate; Source: Depcorp/KNCcorpbea(-1),Relative Current-Cost Approximation; Source: KNCcorp'/KNCcorp,Relative Constant-Cost Approximation; Source: KNRcorp'/KNRcorp,Relative Historical-Cost Approximation; Source: KNHcorp'/KNhcorp,"BEA FA T6.1 line 2: Corp current-cost net stock, post-2011","BEA FA T6.2 line 2: Corp chain index net stock, post-2011","Implicit price deflator net capital stock, BEA-derived post-2011","BEA FA T6.3 line 2: Corp historical-cost net stock, post-2011","BEA FA T6.4 line 2: Corp current-cost depreciation, post-2011","Correct depreciation rate, BEA-derived post-2011","BEA FA T6.7 line 2: Corp gross investment, post-2011","BEA FA T6.8 line 2: Corp chain-type investment index, post-2011",Spliced Shaikh KNCcorp (1925-2011) + BEA (post-2011),Spliced Shaikh KNR index (1925-2011) + BEA (post-2011),Spliced Shaikh DEPcorp (1925-2011) + BEA (post-2011),Spliced Shaikh IGCcorp (1925-2011) + BEA (post-2011)
,S209A,S209B,S209C,S209D,S209E,S209F,S209G,S209H,S209I,S209J,S209K,S209L,S209M,S209N,S209O,S209P,S209Q,S209R,S209S,S209A_EXT,S209B_EXT,S209D_EXT,S209E_EXT,S209F_EXT,S209G_EXT,S209I_EXT,S209J_EXT,S209A_COMBINED,S209B_COMBINED,S209F_COMBINED,S209I_COMBINED
1951,258.5,17.015,1832.226245,14.108519660463656,146.0,13.6,0.054315871849150016,9.3,21.7,6.927,73.786404,29.409212027733457,256.91692685714355,1821.0055557926644,146.4,0.05711885762284754,0.9938759259463967,0.9938759259463966,1.0027397260273974,,,,,,,,,258.5,17.015,13.6,21.7
1952,273.5,17.551,1889.9443329999997,14.471325701210484,158.6,14.5,0.05468655734992405,10.1,22.7,7.097,75.597244,30.027549681573046,271.81244408967194,1878.2829555618086,159.0,0.05609284332688588,0.9938297772931333,0.993829777293133,1.0025220680958387,,,,,,,,,273.5,17.551,14.5,22.7
1953,287.0,18.15,1954.4464499999997,14.684464749597003,172.3,15.4,0.055489854653546264,11.1,24.8,7.616,81.125632,30.56986970529857,285.31081993684836,1942.943272376872,172.7,0.05630712979890311,0.9941143551806563,0.994114355180656,1.0023215322112593,,,,,,,,,287.0,18.15,15.4,24.8
1954,295.3,18.649,2008.180267,14.704855179218828,184.4,16.2,0.05636772241704053,12.1,24.1,7.356,78.35611200000001,30.757013569024455,293.7023418634677,1997.31543278667,184.7,0.05644599303135888,0.9945897116947772,0.994589711694777,1.0016268980477223,,,,,,,,,295.3,18.649,16.2,24.1
1955,325.0,19.238,2071.6055539999998,15.688314764964181,197.9,17.1,0.05427716066442004,13.0,26.6,8.027,85.503604,31.109799769375808,322.93764787479887,2058.459769025013,198.29999999999998,0.057907213003725026,0.9936543011532273,0.9936543011532268,1.002021222839818,,,,,,,,,325.0,19.238,17.1,26.6
1956,360.7,19.98,2151.50634,16.764998238397013,216.0,19.2,0.055282878733243654,14.2,32.2,9.022,96.10234400000002,33.505946535497614,358.22258143301286,2136.729013263912,216.29999999999998,0.059076923076923075,0.9931316369088241,0.9931316369088236,1.0013888888888889,,,,,,,,,360.7,19.98,19.2,32.2
1957,386.9,20.719,2231.084077,17.34134558121361,235.4,21.3,0.05708922931719521,15.5,34.9,9.256,98.59491200000001,35.39736411550324,384.2838584579928,2215.9979262180127,235.7,0.05905184363737178,0.9932381971000073,0.9932381971000068,1.0012744265080713,,,,,,,,,386.9,20.719,21.3,34.9
1958,394.4,21.123,2274.588009,17.339403814644832,248.7,22.7,0.05867806171384175,17.0,30.2,7.931,84.481012,35.74767783321535,391.8943218769265,2260.13723462587,248.89999999999998,0.058671491341431896,0.9936468607427142,0.9936468607427139,1.0008041817450744,,,,,,,,,394.4,21.123,22.7,30.2
1959,411.6,21.598,2325.7374339999997,17.69761255001583,263.6,23.7,0.05887499967219625,17.8,32.7,8.389,89.359628,36.59370650021059,409.14090028312654,2311.842341032381,263.79999999999995,0.06009127789046653,0.9940255108919498,0.9940255108919492,1.000758725341426,,,,,,,,,411.6,21.598,23.7,32.7
1960,419.9,22.218,2392.500894,17.550672647731936,280.9,24.0,0.058797220006677246,18.5,35.6,9.133,97.284716,36.59362072866615,417.4872691448491,2378.7536667365316,280.9,0.05830903790087463,0.9942540346388405,0.9942540346388401,1.0,,,,,,,,,419.9,22.218,24.0,35.6
1961,430.3,22.777,2452.695691,17.543961999809294,296.5,24.7,0.05884602968823896,19.6,35.2,9.064,96.549728,36.45789659811367,427.9695647057481,2439.4122873179967,296.5,0.058823529411764705,0.9945841615285803,0.9945841615285803,1.0,,,,,,,,,430.3,22.777,24.7,35.2
1962,444.2,23.452,2525.381716,17.589420133427467,313.9,25.6,0.0593396219086147,20.8,38.3,9.884,105.284368,36.37767004499661,441.91712146768356,2512.4030133764945,314.0,0.05949337671392052,0.9948606966854651,0.9948606966854648,1.0003185727938835,,,,,,,,,444.2,23.452,25.6,38.3
1963,458.3,24.158,2601.405914,17.617396713583393,331.7,26.7,0.06001260730828646,22.2,40.4,10.409,110.87666800000001,36.43688138247444,456.45722530905874,2590.945942411119,332.2,0.06010805943268798,0.9959791082458187,0.9959791082458188,1.0015073861923425,,,,,,,,,458.3,24.158,26.7,40.4
1964,483.9,25.076,2700.258908,17.920503791927498,353.5,28.2,0.06049100089014114,23.8,46.1,11.802,125.714904,36.670274194378734,482.3239550040442,2691.4642612966754,354.5,0.061531747763473706,0.9967430357595458,0.9967430357595456,1.002828854314003,,,,,,,,,483.9,25.076,28.2,46.1
1965,517.4,26.327,2834.9703409999997,18.25063185026104,382.1,30.5,0.06188943632231615,26.0,55.1,13.97,148.80844000000002,37.027469678467156,515.908571119938,2826.798410886574,383.6,0.06302955156023972,0.9971174548124043,0.9971174548124044,1.003925673907354,,,,,,,,,517.4,26.327,30.5,55.1
1966,563.4,27.856,2999.617648,18.782393828615053,417.3,33.5,0.06291371703840178,28.7,63.8,15.96,170.00592000000003,37.528104903640994,561.3369755375326,2988.633827293801,418.70000000000005,0.06474681097796676,0.9963382597400294,0.9963382597400298,1.0033549005511624,,,,,,,,,563.4,27.856,33.5,63.8
