Count of 1997 NAICS,Unnamed: 1,Unnamed: 2
482112 Total,,1
483111,483111,1
483111 Total,,1
483112,483112,1
483112 Total,,1
483113,483113,1
483113 Total,,1
483114,483114,1
483114 Total,,1
483211,483211,1
483211 Total,,1
483212,483212,1
483212 Total,,1
484110,484110,1
484110 Total,,1
484121,484121,1
484121 Total,,1
484122,484122,1
484122 Total,,1
484210,484210,1
484210 Total,,1
484220,484220,1
484220 Total,,1
484230,484230,1
484230 Total,,1
485111,485111,1
485111 Total,,1
485112,485112,1
485112 Total,,1
485113,485113,1
485113 Total,,1
485119,485119,1
485119 Total,,1
485210,485210,1
485210 Total,,1
485310,485310,1
485310 Total,,1
485320,485320,1
485320 Total,,1
485410,485410,1
485410 Total,,1
485510,485510,1
485510 Total,,1
485991,485991,1
485991 Total,,1
485999,485999,1
485999 Total,,1
486110,486110,1
486110 Total,,1
486210,486210,1
486210 Total,,1
486910,486910,1
486910 Total,,1
486990,486990,1
486990 Total,,1
487110,487110,1
487110 Total,,1
487210,487210,1
487210 Total,,1
487990,487990,1
487990 Total,,1
488111,488111,1
488111 Total,,1
488119,488119,1
488119 Total,,1
488190,488190,1
488190 Total,,1
488210,488210,1
488210 Total,,1
488310,488310,1
488310 Total,,1
488320,488320,1
488320 Total,,1
488330,488330,1
488330 Total,,1
488390,488390,1
488390 Total,,1
488410,488410,1
488410 Total,,1
488490,488490,1
488490 Total,,1
488510,488510,1
488510 Total,,1
488991,488991,1
488991 Total,,1
488999,488999,1
488999 Total,,1
491110,491110,1
491110 Total,,1
492110,492110,1
492110 Total,,1
492210,492210,1
492210 Total,,1
493110,493110,1
493110 Total,,1
493120,493120,1
493120 Total,,1
493130,493130,1
493130 Total,,1
493190,493190,1
493190 Total,,1
511110,511110,1
511110 Total,,1
511120,511120,1
511120 Total,,1
511130,511130,1
,511199,1
511130 Total,,2
511140,511140,1
511140 Total,,1
511191,511191,1
511191 Total,,1
511199,511199,1
511199 Total,,1
511210,511210,1
511210 Total,,1
512110,512110,1
512110 Total,,1
512120,512120,1
512120 Total,,1
512131,512131,1
512131 Total,,1
512132,512132,1
512132 Total,,1
512191,512191,1
512191 Total,,1
512199,512199,1
512199 Total,,1
512210,512210,1
512210 Total,,1
512220,512220,1
512220 Total,,1
512230,512230,1
512230 Total,,1
512240,512240,1
512240 Total,,1
512290,512290,1
512290 Total,,1
515111,513111,1
515111 Total,,1
515112,513112,1
515112 Total,,1
515120,513120,1
515120 Total,,1
515210,513210,1
515210 Total,,1
516110,511110,1
,511120,1
,511130,1
,511140,1
,511191,1
,511199,1
,514199,1
516110 Total,,7
517110,513310,1
517110 Total,,1
517211,513321,1
517211 Total,,1
517212,513322,1
517212 Total,,1
517310,513330,1
517310 Total,,1
517410,513340,1
517410 Total,,1
517510,513220,1
517510 Total,,1
517910,513390,1
517910 Total,,1
518111,514191,1
518111 Total,,1
518112,514199,1
518112 Total,,1
518210,514210,1
518210 Total,,1
519110,514110,1
519110 Total,,1
519120,514120,1
519120 Total,,1
519190,514199,1
519190 Total,,1
521110,521110,1
521110 Total,,1
522110,522110,1
522110 Total,,1
522120,522120,1
522120 Total,,1
522130,522130,1
522130 Total,,1
522190,522190,1
522190 Total,,1
522210,522210,1
522210 Total,,1
522220,522220,1
522220 Total,,1
522291,522291,1
522291 Total,,1
522292,522292,1
522292 Total,,1
522293,522293,1
522293 Total,,1
522294,522294,1
522294 Total,,1
522298,522298,1
522298 Total,,1
522310,522310,1
522310 Total,,1
522320,522320,1
522320 Total,,1
522390,522390,1
522390 Total,,1
523110,523110,1
523110 Total,,1
523120,523120,1
523120 Total,,1
523130,523130,1
523130 Total,,1
523140,523140,1
523140 Total,,1
523210,523210,1
523210 Total,,1
523910,523910,1
523910 Total,,1
523920,523920,1
523920 Total,,1
523930,523930,1
523930 Total,,1
523991,523991,1
523991 Total,,1
523999,523999,1
523999 Total,,1
524113,524113,1
524113 Total,,1
524114,524114,1
524114 Total,,1
524126,524126,1
524126 Total,,1
524127,524127,1
524127 Total,,1
524128,524128,1
524128 Total,,1
524130,524130,1
524130 Total,,1
524210,524210,1
524210 Total,,1
524291,524291,1
524291 Total,,1
524292,524292,1
524292 Total,,1
524298,524298,1
524298 Total,,1
525110,525110,1
525110 Total,,1
525120,525120,1
525120 Total,,1
525190,525190,1
525190 Total,,1
525910,525910,1
525910 Total,,1
525920,525920,1
525920 Total,,1
525930,525930,1
525930 Total,,1
525990,525990,1
525990 Total,,1
531110,531110,1
531110 Total,,1
531120,531120,1
531120 Total,,1
531130,531130,1
531130 Total,,1
531190,531190,1
531190 Total,,1
531210,531210,1
531210 Total,,1
531311,531311,1
531311 Total,,1
531312,531312,1
531312 Total,,1
531320,531320,1
531320 Total,,1
531390,531390,1
531390 Total,,1
532111,532111,1
532111 Total,,1
532112,532112,1
532112 Total,,1
532120,532120,1
532120 Total,,1
532210,532210,1
532210 Total,,1
532220,532220,1
532220 Total,,1
532230,532230,1
532230 Total,,1
532291,532291,1
532291 Total,,1
532292,532292,1
532292 Total,,1
532299,532299,1
532299 Total,,1
532310,532310,1
532310 Total,,1
532411,532411,1
532411 Total,,1
532412,532412,1
532412 Total,,1
532420,532420,1
532420 Total,,1
532490,532490,1
532490 Total,,1
533110,533110,1
533110 Total,,1
541110,541110,1
541110 Total,,1
541120,541120,1
541120 Total,,1
541191,541191,1
541191 Total,,1
541199,541199,1
541199 Total,,1
541211,541211,1
541211 Total,,1
541213,541213,1
541213 Total,,1
541214,541214,1
541214 Total,,1
541219,541219,1
541219 Total,,1
541310,541310,1
541310 Total,,1
541320,541320,1
541320 Total,,1
541330,541330,1
541330 Total,,1
541340,541340,1
541340 Total,,1
541350,541350,1
541350 Total,,1
541360,541360,1
541360 Total,,1
541370,541370,1
541370 Total,,1
541380,541380,1
541380 Total,,1
541410,541410,1
541410 Total,,1
541420,541420,1
541420 Total,,1
541430,541430,1
541430 Total,,1
541490,541490,1
541490 Total,,1
541511,541511,1
541511 Total,,1
541512,541512,1
541512 Total,,1
541513,541513,1
541513 Total,,1
541519,541519,1
541519 Total,,1
541611,541611,1
541611 Total,,1
541612,541612,1
541612 Total,,1
541613,541613,1
541613 Total,,1
541614,541614,1
541614 Total,,1
541618,541618,1
541618 Total,,1
541620,541620,1
541620 Total,,1
541690,541690,1
541690 Total,,1
541710,541710,1
541710 Total,,1
541720,541720,1
541720 Total,,1
541810,541810,1
541810 Total,,1
541820,541820,1
541820 Total,,1
541830,541830,1
541830 Total,,1
541840,541840,1
541840 Total,,1
541850,541850,1
541850 Total,,1
541860,541860,1
541860 Total,,1
541870,541870,1
541870 Total,,1
541890,541890,1
541890 Total,,1
541910,541910,1
541910 Total,,1
541921,541921,1
541921 Total,,1
541922,541922,1
541922 Total,,1
541930,541930,1
541930 Total,,1
541940,541940,1
541940 Total,,1
541990,541990,1
541990 Total,,1
551111,551111,1
551111 Total,,1
551112,551112,1
551112 Total,,1
551114,551114,1
551114 Total,,1
561110,561110,1
561110 Total,,1
561210,561210,1
561210 Total,,1
561310,561310,1
561310 Total,,1
561320,561320,1
561320 Total,,1
561330,561330,1
561330 Total,,1
561410,561410,1
561410 Total,,1
561421,561421,1
561421 Total,,1
561422,561422,1
561422 Total,,1
561431,561431,1
561431 Total,,1
561439,561439,1
561439 Total,,1
561440,561440,1
561440 Total,,1
561450,561450,1
561450 Total,,1
561491,561491,1
561491 Total,,1
561492,561492,1
561492 Total,,1
561499,561499,1
561499 Total,,1
561510,561510,1
561510 Total,,1
561520,561520,1
561520 Total,,1
561591,561591,1
561591 Total,,1
561599,561599,1
561599 Total,,1
561611,561611,1
561611 Total,,1
561612,561612,1
561612 Total,,1
561613,561613,1
561613 Total,,1
561621,561621,1
561621 Total,,1
561622,561622,1
561622 Total,,1
561710,561710,1
561710 Total,,1
561720,561720,2
561720 Total,,2
561730,561730,1
561730 Total,,1
561740,561740,1
561740 Total,,1
561790,561790,1
561790 Total,,1
561910,561910,1
561910 Total,,1
561920,561920,1
561920 Total,,1
561990,561990,1
561990 Total,,1
562111,562111,1
562111 Total,,1
562112,562112,1
562112 Total,,1
562119,562119,1
562119 Total,,1
562211,562211,1
562211 Total,,1
562212,562212,1
562212 Total,,1
562213,562213,1
562213 Total,,1
562219,562219,1
562219 Total,,1
562910,562910,1
562910 Total,,1
562920,562920,1
562920 Total,,1
562991,562991,1
562991 Total,,1
562998,562998,1
562998 Total,,1
611110,611110,1
611110 Total,,1
611210,611210,1
611210 Total,,1
611310,611310,1
611310 Total,,1
611410,611410,1
611410 Total,,1
611420,611420,1
611420 Total,,1
611430,611430,1
611430 Total,,1
611511,611511,1
611511 Total,,1
611512,611512,1
611512 Total,,1
611513,611513,1
611513 Total,,1
611519,611519,1
611519 Total,,1
611610,611610,1
611610 Total,,1
611620,611620,1
611620 Total,,1
611630,611630,1
611630 Total,,1
611691,611691,1
611691 Total,,1
611692,611692,1
611692 Total,,1
611699,611699,1
611699 Total,,1
611710,611710,1
611710 Total,,1
621111,621111,1
621111 Total,,1
621112,621112,1
621112 Total,,1
621210,621210,1
621210 Total,,1
621310,621310,1
621310 Total,,1
621320,621320,1
621320 Total,,1
621330,621330,1
621330 Total,,1
621340,621340,1
621340 Total,,1
621391,621391,1
621391 Total,,1
621399,621399,1
621399 Total,,1
621410,621410,1
621410 Total,,1
621420,621420,1
621420 Total,,1
621491,621491,1
621491 Total,,1
621492,621492,1
621492 Total,,1
621493,621493,1
621493 Total,,1
621498,621498,1
621498 Total,,1
621511,621511,1
621511 Total,,1
621512,621512,1
621512 Total,,1
621610,621610,1
621610 Total,,1
621910,621910,1
621910 Total,,1
621991,621991,1
621991 Total,,1
621999,621999,1
621999 Total,,1
622110,622110,1
622110 Total,,1
622210,622210,1
622210 Total,,1
622310,622310,1
622310 Total,,1
623110,623110,1
623110 Total,,1
623210,623210,1
623210 Total,,1
623220,623220,1
623220 Total,,1
623311,623311,1
623311 Total,,1
623312,623312,1
623312 Total,,1
623990,623990,1
623990 Total,,1
624110,624110,1
624110 Total,,1
624120,624120,1
624120 Total,,1
624190,624190,1
624190 Total,,1
624210,624210,1
624210 Total,,1
624221,624221,1
624221 Total,,1
624229,624229,1
624229 Total,,1
624230,624230,1
624230 Total,,1
624310,624310,1
624310 Total,,1
624410,624410,1
624410 Total,,1
711110,711110,1
711110 Total,,1
711120,711120,1
711120 Total,,1
711130,711130,1
711130 Total,,1
711190,711190,1
711190 Total,,1
711211,711211,1
711211 Total,,1
711212,711212,1
711212 Total,,1
711219,711219,1
711219 Total,,1
711310,711310,1
711310 Total,,1
711320,711320,1
711320 Total,,1
711410,711410,1
711410 Total,,1
711510,711510,1
711510 Total,,1
712110,712110,1
712110 Total,,1
712120,712120,1
712120 Total,,1
712130,712130,1
712130 Total,,1
712190,712190,1
712190 Total,,1
713110,713110,1
713110 Total,,1
713120,713120,1
713120 Total,,1
713210,713210,1
713210 Total,,1
713290,713290,1
713290 Total,,1
713910,713910,1
713910 Total,,1
713920,713920,1
713920 Total,,1
713930,713930,1
713930 Total,,1
713940,713940,1
713940 Total,,1
713950,713950,1
713950 Total,,1
713990,713990,1
713990 Total,,1
721110,721110,1
721110 Total,,1
721120,721120,1
721120 Total,,1
721191,721191,1
721191 Total,,1
721199,721199,1
721199 Total,,1
721211,721211,1
721211 Total,,1
721214,721214,1
721214 Total,,1
721310,721310,1
721310 Total,,1
722110,722110,1
722110 Total,,1
722211,722211,1
722211 Total,,1
722212,722212,1
722212 Total,,1
722213,722213,1
722213 Total,,1
722310,722310,1
722310 Total,,1
722320,722320,1
722320 Total,,1
722330,722330,1
722330 Total,,1
722410,722410,1
722410 Total,,1
811111,811111,1
811111 Total,,1
811112,811112,1
811112 Total,,1
811113,811113,1
811113 Total,,1
811118,811118,1
811118 Total,,1
811121,811121,1
811121 Total,,1
811122,811122,1
811122 Total,,1
811191,811191,1
811191 Total,,1
811192,811192,1
811192 Total,,1
811198,811198,1
811198 Total,,1
811211,811211,1
811211 Total,,1
811212,811212,1
811212 Total,,1
811213,811213,1
811213 Total,,1
811219,811219,1
811219 Total,,1
811310,811310,1
811310 Total,,1
811411,811411,1
811411 Total,,1
811412,811412,1
811412 Total,,1
811420,811420,1
811420 Total,,1
811430,811430,1
811430 Total,,1
811490,811490,1
811490 Total,,1
812111,812111,1
812111 Total,,1
812112,812112,1
812112 Total,,1
812113,812113,1
812113 Total,,1
812191,812191,1
812191 Total,,1
812199,812199,1
812199 Total,,1
812210,812210,1
812210 Total,,1
812220,812220,1
812220 Total,,1
812310,812310,1
812310 Total,,1
812320,812320,1
812320 Total,,1
812331,812331,1
812331 Total,,1
812332,812332,1
812332 Total,,1
812910,812910,1
812910 Total,,1
812921,812921,1
812921 Total,,1
812922,812922,1
812922 Total,,1
812930,812930,1
812930 Total,,1
812990,812990,1
812990 Total,,1
813110,813110,1
813110 Total,,1
813211,813211,1
813211 Total,,1
813212,813212,1
813212 Total,,1
813219,813219,1
813219 Total,,1
813311,813311,1
813311 Total,,1
813312,813312,1
813312 Total,,1
813319,813319,1
813319 Total,,1
813410,813410,1
813410 Total,,1
813910,813910,1
813910 Total,,1
813920,813920,1
813920 Total,,1
813930,813930,1
813930 Total,,1
813940,813940,1
813940 Total,,1
813990,813990,1
813990 Total,,1
814110,814110,1
814110 Total,,1
921110,921110,1
921110 Total,,1
921120,921120,1
921120 Total,,1
921130,921130,1
921130 Total,,1
921140,921140,1
921140 Total,,1
921150,921150,1
921150 Total,,1
921190,921190,1
921190 Total,,1
922110,922110,1
922110 Total,,1
922120,922120,1
922120 Total,,1
922130,922130,1
922130 Total,,1
922140,922140,1
922140 Total,,1
922150,922150,1
922150 Total,,1
922160,922160,1
922160 Total,,1
922190,922190,1
922190 Total,,1
923110,923110,1
923110 Total,,1
923120,923120,1
923120 Total,,1
923130,923130,1
923130 Total,,1
923140,923140,1
923140 Total,,1
924110,924110,1
924110 Total,,1
924120,924120,1
924120 Total,,1
925110,925110,1
925110 Total,,1
925120,925120,1
925120 Total,,1
926110,926110,1
926110 Total,,1
926120,926120,1
926120 Total,,1
926130,926130,1
926130 Total,,1
926140,926140,1
926140 Total,,1
926150,926150,1
926150 Total,,1
927110,927110,1
927110 Total,,1
928110,928110,1
928110 Total,,1
928120,928120,1
928120 Total,,1
(blank),(blank),
(blank) Total,,
Grand Total,,1354
