1997 NAICS,NAICS Part Indicator,1997 NAICS Title,SIC,SIC Part Indicator,SIC Title and Part Description
322223,,"Plastics, Foil, and Coated Paper Bag Manufacturing",2673,*,"Plastics, Foil, and Coated Paper Bags (except all plastics)"
322224,,Uncoated Paper and Multiwall Bag Manufacturing,2674,,Uncoated Paper and Multiwall Bags
322225,,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,3497,*,Metal Foil and Leaf (laminated aluminum foil rolls and sheets for flexible packaging uses)
322226,,Surface-Coated Paperboard Manufacturing,2675,*,"Die-Cut Paper and Paperboard and Cardboard (pasted, lined, laminated, or surface-coated paperboard)"
322231,a,Die-Cut Paper and Paperboard Office Supplies Manufacturing,2675,*,"Die-Cut Paper and Paperboard and Cardboard (file folders, tabulating cards, and other paper and paperboard office supplies)"
322231,b,Die-Cut Paper and Paperboard Office Supplies Manufacturing,2679,*,"Converted Paper and Paperboard Products, NEC (paper supplies for business machines and other paper office supplies)"
322232,,Envelope Manufacturing,2677,,Envelopes
322233,,"Stationery, Tablet, and Related Product Manufacturing",2678,,"Stationery, Tablets, and Related Products"
322291,a,Sanitary Paper Product Manufacturing,2676,,Sanitary Paper Products
322291,b,Sanitary Paper Product Manufacturing,3842,*,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies (incontinent and bed pads)"
322299,a,All Other Converted Paper Product Manufacturing,2675,*,"Die-Cut Paper and Paperboard and Cardboard (die-cut paper and paperboard products, except office supplies and pasted, lined, laminated, or surface-coated paperboard)"
322299,b,All Other Converted Paper Product Manufacturing,2679,*,"Converted Paper and Paperboard Products, NEC ( other converted paper and paperboard products, such as paper filters, crepe paper, and laminated and tiled wallboard)"
323110,a,Commercial Lithographic Printing,2752,*,"Commercial Printing, Lithographic (except quick printing)"
323110,b,Commercial Lithographic Printing,2771,*,Greeting Cards (lithographic printing of greeting cards)
323111,a,Commercial Gravure Printing,2754,,"Commercial Printing, Gravure"
323111,b,Commercial Gravure Printing,2771,*,Greeting Cards (gravure printing of greeting cards)
323112,a,Commercial Flexographic Printing,2759,*,"Commercial Printing, NEC (flexographic printing)"
323112,b,Commercial Flexographic Printing,2771,*,Greeting Cards (flexographic printing of greeting cards)
323113,a,Commercial Screen Printing,2396,*,"Automotive Trimmings, Apparel Findings, and Related Products (printing and embossing on fabric articles)"
323113,b,Commercial Screen Printing,2759,*,"Commercial Printing, NEC (screen printing)"
323113,c,Commercial Screen Printing,2771,*,Greeting Cards (screen printing of greeting cards)
323114,a,Quick Printing,2752,*,"Commercial Printing, Lithographic (quick printing)"
323114,b,Quick Printing,2759,*,"Commercial Printing, NEC (quick printing)"
323114,c,Quick Printing,7334,*,Photocopying and Duplicating Services (instant printing)
323115,,Digital Printing,2759,*,"Commercial Printing, NEC (digital printing, except quick printing)"
323116,a,Manifold Business Forms Printing,2761,,Manifold Business Forms
323116,b,Manifold Business Forms Printing,2782,*,"Blankbooks, Loose-leaf Binders and Devices (checkbooks)"
323117,,Books Printing,2732,,Book Printing
323118,,"Blankbook, Looseleaf Binders, and Devices Manufacturing",2782,*,"Blankbooks, Loose-leaf Binders and Devices (except checkbooks)"
323119,a,Other Commercial Printing,2759,*,"Commercial Printing, NEC (other commercial printing except quick printing)"
323119,b,Other Commercial Printing,2771,*,Greeting Cards (other printing of greeting cards)
323121,,Tradebinding and Related Work,2789,,Bookbinding and Related Work
323122,a,Prepress Services,2791,,Typesetting
323122,b,Prepress Services,2796,,Platemaking and Related Services
32411,,Petroleum Refineries,2911,,Petroleum Refining
324121,,Asphalt Paving Mixture and Block Manufacturing,2951,,Asphalt Paving Mixtures and Blocks
324122,,Asphalt Shingle and Coating Materials Manufacturing,2952,,Asphalt Felts and Coatings
324191,,Petroleum Lubricating Oil and Grease Manufacturing,2992,,Lubricating Oils and Greases
324199,a,All Other Petroleum and Coal Products Manufacturing,2999,,"Products of Petroleum and Coal, NEC"
324199,b,All Other Petroleum and Coal Products Manufacturing,3312,*,Blast Furnaces and Steel Mills (coke ovens)
32511,a,Petrochemical Manufacturing,2865,*,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (aromatics)"
32511,b,Petrochemical Manufacturing,2869,*,"Industrial Organic Chemicals, NEC (aliphatics)"
32512,a,Industrial Gas Manufacturing,2813,,Industrial Gases
32512,b,Industrial Gas Manufacturing,2869,*,"Industrial Organic Chemicals, NEC (fluorocarbon gases)"
325131,a,Inorganic Dye and Pigment Manufacturing,2816,*,Inorganic Pigments (except bone and lamp black)
325131,b,Inorganic Dye and Pigment Manufacturing,2819,*,"Industrial Inorganic Chemicals, NEC (inorganic dyes)"
325132,,Synthetic Organic Dye and Pigment Manufacturing,2865,*,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (organic dyes and pigments)"
325181,,Alkalies and Chlorine Manufacturing,2812,,Alkalies and Chlorine
325182,a,Carbon Black Manufacturing,2816,*,Inorganic pigments (bone and lamp black)
325182,b,Carbon Black Manufacturing,2895,,Carbon Black
325188,a,All Other Basic Inorganic Chemical Manufacturing,2819,*,"Industrial Inorganic Chemicals, NEC (except activated carbon and charcoal, alumina, and inorganic industrial dyes)"
325188,b,All Other Basic Inorganic Chemical Manufacturing,2869,*,"Industrial Organic Chemicals, NEC (carbon bisulfide)"
325191,,Gum and Wood Chemical Manufacturing,2861,,Gum and Wood Chemicals
325192,,Cyclic Crude and Intermediate Manufacturing,2865,*,Cyclic Organic Crudes and Intermediates and Organic Dyes and Pigments (except aromatics and organic dyes and pigments)
325193,,Ethyl Alcohol Manufacturing,2869,*,Industrial Organic Chemicals (ethyl alcohol)
325199,a,All Other Basic Organic Chemical Manufacturing,2869,*,"Industrial Organic Chemicals, NEC (except aliphatics, carbon bisulfide, ethyl alcohol, and fluorocarbon gases)"
325199,b,All Other Basic Organic Chemical Manufacturing,2899,*,"Chemical and Chemical Preparations, NEC (fatty acids)"
325211,,Plastics Material and Resin Manufacturing,2821,,"Plastics Materials, Synthetic and Resins, and Nonvulcanizable Elastomers"
325212,,Synthetic Rubber Manufacturing,2822,,Synthetic Rubber
325221,,Cellulosic Organic Fiber Manufacturing,2823,,Cellulosic Manmade Fibers
325222,,Noncellulosic Organic Fiber Manufacturing,2824,,"Manmade Organic Fibers, Except Cellulosic"
325311,,Nitrogenous Fertilizer Manufacturing,2873,,Nitrogenous Fertilizers
325312,,Phosphatic Fertilizer Manufacturing,2874,,Phosphatic Fertilizers
325314,,Fertilizer (Mixing Only) Manufacturing,2875,,"Fertilizers, Mixing Only"
32532,,Pesticide and Other Agricultural Chemical Manufacturing,2879,,"Pesticides and Agricultural Chemicals, NEC"
325411,,Medicinal and Botanical Manufacturing,2833,,Medicinal Chemicals and Botanical Products
325412,a,Pharmaceutical Preparation Manufacturing,2834,,Pharmaceutical Preparations
325412,b,Pharmaceutical Preparation Manufacturing,2835,*,In-Vitro and In-Vivo Diagnostic Substances (except in-vitro diagnostic)
325413,,In-Vitro Diagnostic Substance Manufacturing,2835,*,In-Vitro and In-Vivo Diagnostic Substances (in-vitro diagnostic substances)
325414,,Biological Product (except Diagnostic) Manufacturing,2836,,"Biological Products, Except Diagnostic Substance"
32551,a,Paint and Coating Manufacturing,2851,,"Paints, Varnishes, Lacquers, Enamels and Allied Products"
32551,b,Paint and Coating Manufacturing,2899,*,"Chemicals and Chemical Preparations, NEC (frit)"
32552,,Adhesive Manufacturing,2891,,Adhesives and Sealants
325611,a,Soap and Other Detergent Manufacturing,2841,,"Soaps and Other Detergents, Except Specialty Cleaners"
325611,b,Soap and Other Detergent Manufacturing,2844,*,Toilet Preparations (toothpaste)
325612,,Polish and Other Sanitation Good Manufacturing,2842,,"Specialty Cleaning, Polishing, and Sanitary Preparations"
325613,,Surface Active Agent Manufacturing,2843,,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants"
32562,,Toilet Preparation Manufacturing,2844,*,"Perfumes, Cosmetics, and Other Toilet Preparations (except toothpaste)"
32591,,Printing Ink Manufacturing,2893,,Printing Ink
32592,,Explosives Manufacturing,2892,,Explosives
325991,,Custom Compounding of Purchased Resins,3087,,Custom Compounding of Purchased Plastics Resin
325992,,"Photographic Film, Paper, Plate, and Chemical Manufacturing",3861,*,"Photographic Equipment and Supplies (photographic films, paper, plates and chemicals)"
325998,a,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2819,*,"Industrial Inorganic Chemicals, NEC (activated carbon and charcoal)"
325998,b,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2899,*,"Chemicals and Chemical Preparations, NEC (except frit and table salt)"
325998,c,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3952,*,Lead Pencils and Art Goods (drawing inks and india ink)
325998,d,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3999,*,"Manufacturing Industries, NEC (matches)"
325998,e,All Other Miscellaneous Chemical Product and Preparation Manufacturing,7389,*,"Business Services, NEC (aerosol packaging)"
326111,,Unsupported Plastics Bag Manufacturing,2673,*,"Plastics, Foil, and Coated Paper Bags (plastics bags)"
326112,,Unsupported Plastics Packaging Film and Sheet Manufacturing,2671,*,"Packaging Paper and Plastics Film, Coated, and Laminated (plastics packaging film and sheet)"
326113,,Unsupported Plastics Film and Sheet (except Packaging) Manufacturing,3081,,Unsupported Plastics Film and Sheets
326121,a,Unsupported Plastics Profile Shape Manufacturing,3082,,Unsupported Plastics Profile Shapes
326121,b,Unsupported Plastics Profile Shape Manufacturing,3089,*,"Plastics Product, NEC (plastics sausage casings)"
326122,a,Plastics Pipe and Pipe Fitting Manufacturing,3084,,Plastics Pipe
326122,b,Plastics Pipe and Pipe Fitting Manufacturing,3089,*,"Plastics Products, NEC (pipe fittings)"
32613,,"Laminated Plastics Plate, Sheet, and Shape Manufacturing",3083,,"Laminated Plastics Plate, Sheet, and Profile Shapes"
32614,,Polystyrene Foam Product Manufacturing,3086,*,Plastics Foam Products (polystyrene foam products)
32615,,Urethane and Other Foam Product (except Polystyrene) Manufacturing,3086,*,Plastics Foam Products (urethane and other foam products)
32616,,Plastics Bottle Manufacturing,3085,,Plastics Bottles
326191,,Plastics Plumbing Fixture Manufacturing,3088,,Plastics Plumbing Fixtures
326192,a,Resilient Floor Covering Manufacturing,3069,*,"Fabricated Rubber Products, NEC (rubber resilient floor coverings)"
326192,b,Resilient Floor Covering Manufacturing,3996,,"Linoleum, Asphalted-Felt-Base, and Other Hard Surface Floor Coverings, NEC"
326199,a,All Other Plastics Product Manufacturing,3089,*,"Plastics Products, NEC (except plastics pipe fittings and plastics sausage casings)"
326199,b,All Other Plastics Product Manufacturing,3999,*,"Manufacturing Industries, NEC (plastics products such as combs, hair curlers, etc.)"
326211,,Tire Manufacturing (except Retreading),3011,,Tires and Inner Tubes
326212,,Tire Retreading,7534,*,Tire Retreading and Repair Shops (rebuilding)
32622,,Rubber and Plastics Hoses and Belting Manufacturing,3052,,Rubber and Plastics Hose and Belting
326291,,Rubber Product Manufacturing for Mechanical Use,3061,,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods"
326299,,All Other Rubber Product Manufacturing,3069,*,"Fabricated Rubber Products, NEC (except rubberized fabric and rubber resilient floor covering)"
327111,,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,3261,,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories
327112,a,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",3262,,Vitreous China Table and Kitchen Articles
327112,b,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",3263,,Fine Earthenware (Whiteware) Table and Kitchen Articles
327112,c,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",3269,,"Pottery Products, NEC"
327112,d,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",3299,*,"Nonmetallic Mineral Products, NEC (clay statuary)"
327113,,Porcelain Electrical Supply Manufacturing,3264,,Porcelain Electrical Supplies
327121,,Brick and Structural Clay Tile Manufacturing,3251,*,Brick and Structural Clay Tile (except slumped brick)
327122,,Ceramic Wall and Floor Tile Manufacturing,3253,,Ceramic Wall and Floor Tile
327123,,Other Structural Clay Product Manufacturing,3259,,"Structural Clay Products, NEC"
327124,,Clay Refractory Manufacturing,3255,,Clay Refractories
327125,,Nonclay Refractory Manufacturing,3297,,Nonclay Refractories
327211,,Flat Glass Manufacturing,3211,,Flat Glass
327212,,Other Pressed and Blown Glass and Glassware Manufacturing,3229,,"Pressed and Blown Glass and Glassware, NEC"
327213,,Glass Container Manufacturing,3221,,Glass Containers
327215,,Glass Product Manufacturing Made of Purchased Glass,3231,,Glass Products Made of Purchased Glass
32731,,Cement Manufacturing,3241,,"Cement, Hydraulic"
32732,,Ready-Mix Concrete Manufacturing,3273,,Ready-Mixed Concrete
327331,a,Concrete Block and Brick Manufacturing,3251,*,Brick and Structural Clay Tile (slumped brick)
327331,b,Concrete Block and Brick Manufacturing,3271,,Concrete Block and Brick
327332,,Concrete Pipe Manufacturing,3272,*,"Concrete Products, Except Block and Brick (concrete pipe)"
32739,,Other Concrete Product Manufacturing,3272,*,"Concrete Products, Except Block and Brick (concrete products, except dry mix concrete and pipe)"
32741,,Lime Manufacturing,3274,,Lime
32742,a,Gypsum Product Manufacturing,3275,,Gypsum Products
32742,b,Gypsum Product Manufacturing,3299,*,"Nonmetallic Mineral Products, NEC (moldings, ornamental and architectural plaster work and gypsum statuary )"
32791,,Abrasive Product Manufacturing,3291,*,Abrasive Products (except steel wool with or without soap)
327991,,Cut Stone and Stone Product Manufacturing,3281,,Cut Stone and Stone Products
327992,,Ground or Treated Mineral and Earth Manufacturing,3295,*,"Minerals and Earths, Ground or Otherwise Treated (except grinding, washing, separating, etc. of nonmetallic minerals)"
327993,,Mineral Wool Manufacturing,3296,,Mineral Wool
327999,a,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,3272,*,"Concrete Products, Except Block and Brick (dry mixture concrete)"
327999,b,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,3292,*,Asbestos Products (except brake pads and linings)
327999,c,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,3299,*,"Nonmetallic Mineral Products, NEC (except moldings, ornamental and architectural plaster work, clay and gypsum statuary)"
331111,,Iron and Steel Mills,3312,*,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (except coke ovens not integrated with steel mills and hot rolling purchased steel)"
331112,,Electrometallurgical Ferroalloy Product Manufacturing,3313,,"Electrometallurgical Products, Except Steel"
33121,,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,3317,,Steel Pipe and Tubes
331221,a,Rolled Steel Shape Manufacturing,3312,*,"Steel Works, Blast Furnaces (including coke ovens), and Rolling Mills (hot rolling purchased steel)"
331221,b,Rolled Steel Shape Manufacturing,3316,,"Cold-Rolled Steel Sheet, Strip and Bars"
331221,c,Rolled Steel Shape Manufacturing,3399,*,"Primary Metal Products, NEC (making ferrous metal powder, paste, and flake from purchased iron or steel)"
331222,,Steel Wire Drawing,3315,*,"Steel Wiredrawing and Steel Nails and Spikes (steel, wire drawing)"
331311,,Alumina Refining,2819,*,"Industrial Inorganic Chemicals, NEC (alumina)"
331312,,Primary Aluminum Production,3334,,Primary Production of Aluminum
331314,a,Secondary Smelting and Alloying of Aluminum,3341,*,Secondary Smelting and Refining of  Nonferrous Metals (aluminum)
331314,b,Secondary Smelting and Alloying of Aluminum,3399,*,"Primary Metal Products, NEC (aluminum powder, paste, flakes, etc.)"
331315,,"Aluminum Sheet, Plate, and Foil Manufacturing",3353,,"Aluminum Sheet, Plate, and Foil"
331316,,Aluminum Extruded Product Manufacturing,3354,,Aluminum Extruded Products
331319,a,Other Aluminum Rolling and Drawing,3355,,"Aluminum Rolling and Drawing, NEC"
331319,b,Other Aluminum Rolling and Drawing,3357,*,Drawing and Insulating of Nonferrous Wire (aluminum wire drawing)
331411,,Primary Smelting and Refining of Copper,3331,,Primary Smelting and Refining of Copper
331419,,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),3339,,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum"
331421,,"Copper Rolling, Drawing, and Extruding",3351,,"Rolling, Drawing, and Extruding of Copper"
331422,,Copper Wire (except Mechanical) Drawing,3357,*,Drawing and Insulating of Nonferrous Wire (copper wire drawing)
331423,a,"Secondary Smelting, Refining, and Alloying of Copper",3341,*,Secondary Smelting and Refining of Nonferrous Metals (copper)
331423,b,"Secondary Smelting, Refining, and Alloying of Copper",3399,*,"Primary Metal Products, NEC (copper powders, flakes, paste, etc.)"
331491,a,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3356,,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum"
331491,b,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3357,*,Drawing and Insulating of Nonferrous Wire (wire drawing except copper or aluminum)
331492,a,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",3341,*,Secondary Smelting and Refining of Nonferrous Metals (except copper and aluminum)
331492,b,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",3399,*,"Primary Metal Products, NEC (except copper and aluminum)"
331511,a,Iron Foundries,3321,,Gray and Ductile Iron Foundries
331511,b,Iron Foundries,3322,,Malleable Iron Foundries
331512,,Steel Investment Foundries,3324,,Steel Investment Foundries
331513,,Steel Foundries (except Investment),3325,,"Steel Foundries, NEC"
331521,,Aluminum Die-Casting Foundries,3363,,Aluminum Die-Castings
331522,,Nonferrous (except Aluminum) Die-Casting Foundries,3364,,"Nonferrous Die-Castings, Except Aluminum"
331524,,Aluminum Foundries (except Die-Casting),3365,,Aluminum Foundries
331525,,Copper Foundries (except Die-Casting),3366,,Copper Foundries
331528,,Other Nonferrous Foundries (except Die-Casting),3369,,"Nonferrous Foundries, Except Aluminum and Copper"
332111,,Iron and Steel Forging,3462,,Iron and Steel Forgings
332112,,Nonferrous Forging,3463,,Nonferrous Forgings
332114,,Custom Roll Forming,3449,*,Miscellaneous Structural Metal Work (custom roll forming)
332115,,Crown and Closure Manufacturing,3466,,Crowns and Closures
332116,,Metal Stamping,3469,*,"Metal Stampings, NEC (except kitchen utensils, pots and pans for cooking, and coins)"
332117,a,Powder Metallurgy Part Manufacturing,3499,*,"Fabricated Metal Products, NEC (powder metallurgy)"
332211,a,Cutlery and Flatware (except Precious) Manufacturing,3421,*,Cutlery (except tool-type shears)
332211,b,Cutlery and Flatware (except Precious) Manufacturing,3914,*,"Silverware, Plated Ware, and Stainless Steel Ware (cutlery and flatware, nonprecious and precious plated)"
332211,c,Cutlery and Flatware (except Precious) Manufacturing,3999,*,"Manufacturing Industries, NEC (human hair clippers, hand operated)"
332212,a,Hand and Edge Tool Manufacturing,3421,*,Cutlery (tool-type shears)
332212,b,Hand and Edge Tool Manufacturing,3423,,"Hand and Edge Tools, Except Machine Tools and Handsaws"
332212,c,Hand and Edge Tool Manufacturing,3523,*,Farm Machinery and Equipment (hand hair clippers for animals)
332212,d,Hand and Edge Tool Manufacturing,3524,*,Lawn and Garden Tractors and Home Lawn and Garden Equipment (nonpowered lawnmowers)
332212,e,Hand and Edge Tool Manufacturing,3545,*,"Cutting Tools, Machine Tools Accessories, and Machinist Precision Measuring Devices (precision measuring devices)"
332212,f,Hand and Edge Tool Manufacturing,3644,*,"Noncurrent-Carrying Wiring Devices (fish wire, electrical wiring tool)"
332212,g,Hand and Edge Tool Manufacturing,3999,*,"Manufacturing Industries, NEC (tape measures)"
332213,,Saw Blade and Handsaw Manufacturing,3425,,Saw Blades and Handsaws
332214,,"Kitchen Utensil, Pot, and Pan Manufacturing",3469,*,"Metal Stampings, NEC (kitchen utensils, pots, and pans for cooking)"
332311,,Prefabricated Metal Building and Component Manufacturing,3448,,Prefabricated Metal Buildings and Components
332312,a,Fabricated Structural Metal Manufacturing,3441,,Fabricated Structural Metal
332312,b,Fabricated Structural Metal Manufacturing,3449,*,Miscellaneous Structural Metal Work (fabricated bar joists and concrete reinforcing bars)
332313,,Plate Work Manufacturing,3443,*,Fabricated Plate Work (Boiler Shops) (fabricated plate work and metal weldments)
332321,a,Metal Window and Door Manufacturing,3442,,"Metal Doors, Sash, Frames, Molding and Trim"
332321,b,Metal Window and Door Manufacturing,3449,*,Miscellaneous Structural Metal Work (curtain wall)
332322,,Sheet Metal Work Manufacturing,3444,*,"Sheet Metal Work (ducts, flumes, flooring, siding, dampers, etc.)"
332323,a,Ornamental and Architectural Metal Work Manufacturing,3446,,Architectural and Ornamental Metal Work
332323,b,Ornamental and Architectural Metal Work Manufacturing,3449,*,Miscellaneous Structural Metal Work (metal plaster bases)
332323,c,Ornamental and Architectural Metal Work Manufacturing,3523,*,"Farm Machinery and Equipment (corrals, stalls, and holding gates)"
33241,a,Power Boiler and Heat Exchanger Manufacturing,3443,*,Fabricated Plate Work (Boiler Shops) (power boilers and heat exchangers)
33241,b,Power Boiler and Heat Exchanger Manufacturing,3559,*,"Special Industry Machinery, NEC (nuclear control drive mechanisms)"
33242,,Metal Tank (Heavy Gauge) Manufacturing,3443,*,Fabricated Plate Work (Boiler Shops) (heavy gauge tanks)
332431,,Metal Can Manufacturing,3411,,Metal Cans
332439,a,Other Metal Container Manufacturing,3412,,"Metal Shipping Barrels, Drums, Kegs, and Pails"
332439,b,Other Metal Container Manufacturing,3429,*,"Hardware, NEC (vacuum and insulated bottles, jugs, and chests)"
332439,c,Other Metal Container Manufacturing,3444,*,Sheet Metal Work (metal bins and vats)
332439,d,Other Metal Container Manufacturing,3499,*,"Fabricated Metal Products, NEC (metal boxes)"
332439,e,Other Metal Container Manufacturing,3537,*,"Industrial Trucks, Tractors, Trailers, and Stackers (metal air cargo containers)"
33251,a,Hardware Manufacturing,3429,*,"Hardware, NEC (other hardware)"
33251,b,Hardware Manufacturing,3499,*,"Fabricated Metal Products, NEC (safe and vault locks)"
332611,,Spring (Heavy Gauge) Manufacturing,3493,,"Steel Springs, Except Wire"
332612,,Spring (Light Gauge) Manufacturing,3495,*,Wire Springs (except watch and clock springs)
332618,a,Other Fabricated Wire Product Manufacturing,3315,*,"Steel Wiredrawing and Steel Nails and Spikes (nails, spikes, paper clips, and wire not made in wiredrawing plants)"
332618,b,Other Fabricated Wire Product Manufacturing,3399,*,"Primary Metal Products, NEC (nonferrous nails, brads, staples, etc.)"
332618,c,Other Fabricated Wire Product Manufacturing,3496,*,Miscellaneous Fabricated Wire Products (except grocery carts)
33271,,Machine Shops,3599,*,"Industrial and Commercial Machinery and Equipment, NEC (machine shops)"
332721,,Precision Turned Product Manufacturing,3451,,Screw Machine Products
332722,a,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",3452,,"Bolts, Nuts, Screws, Rivets, and Washers"
332722,b,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",3429,*,"Hardware, NEC (turnbuckles and hose clamps)"
332811,,Metal Heat Treating,3398,,Metal Heat Treating
332812,,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",3479,*,"Coating, Engraving, and Allied Services, NEC (except jewelry, silverware, and flatware engraving and etching)"
332813,a,"Electroplating, Plating, Polishing, Anodizing, and Coloring",3399,*,"Primary Metal Products, NEC (laminating steel)"
332813,b,"Electroplating, Plating, Polishing, Anodizing, and Coloring",3471,,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332911,,Industrial Valve Manufacturing,3491,,Industrial Valves
332912,a,Fluid Power Valve and Hose Fitting Manufacturing,3492,,Fluid Power Valves and Hose Fittings
332912,b,Fluid Power Valve and Hose Fitting Manufacturing,3728,*,"Aircraft Parts and Auxiliary Equipment, NEC (fluid power aircraft subassemblies)"
332913,,Plumbing Fixture Fitting and Trim Manufacturing,3432,*,Plumbing Fixture Fittings and Trim (except shower rods and lawn hose nozzles)
332919,a,Other Metal Valve and Pipe Fitting Manufacturing,3429,*,"Hardware, NEC (fire hose nozzles and couplings)"
332919,b,Other Metal Valve and Pipe Fitting Manufacturing,3494,*,"Valves and Pipe Fittings, NEC (except metal pipe hangers and supports)"
332919,c,Other Metal Valve and Pipe Fitting Manufacturing,3499,*,"Fabricated Metal Products, NEC (metal aerosol valves)"
332919,d,Other Metal Valve and Pipe Fitting Manufacturing,3432,*,Plumbing Fixture Fittings and Trim (lawn hose nozzles)
332991,,Ball and Roller Bearing Manufacturing,3562,,Ball and Roller Bearings
332992,,Small Arms Ammunition Manufacturing,3482,,Small Arms Ammunition
332993,,Ammunition (except Small Arms) Manufacturing,3483,,"Ammunition, Except for Small Arms"
332994,a,Small Arms Manufacturing,3484,,Small Arms
332994,b,Small Arms Manufacturing,3841,*,Surgical and Medical Instruments and Apparatus (tranquilizer guns)
332995,,Other Ordnance and Accessories Manufacturing,3489,,"Ordnance and Accessories, NEC"
332996,,Fabricated Pipe and Pipe Fitting Manufacturing,3498,,Fabricated Pipe and Pipe Fittings
332997,,Industrial Pattern Manufacturing,3543,,Industrial Patterns
332998,,Enameled Iron and Metal Sanitary Ware Manufacturing,3431,,Enameled Iron and Metal Sanitary Ware
332999,a,All Other Miscellaneous Fabricated Metal Product Manufacturing,3291,*,Abrasive Products (steel wool with or without soap)
332999,b,All Other Miscellaneous Fabricated Metal Product Manufacturing,3429,*,"Hardware, NEC (fireplace fixtures, traps, handcuffs and leg irons, ladder jacks, and other like metal products)"
332999,c,All Other Miscellaneous Fabricated Metal Product Manufacturing,3432,*,Plumbing Fixture Fittings and Trim (metal shower rods)
332999,d,All Other Miscellaneous Fabricated Metal Product Manufacturing,3494,*,"Valves and Pipe Fittings, NEC (metal pipe hangers and supports)"
332999,e,All Other Miscellaneous Fabricated Metal Product Manufacturing,3497,*,Metal Foil and Leaf (foil and foil containers)
332999,f,All Other Miscellaneous Fabricated Metal Product Manufacturing,3499,*,"Fabricated Metal Products, NEC (other metal products)"
332999,g,All Other Miscellaneous Fabricated Metal Product Manufacturing,3537,*,"Industrial Trucks, Tractors, Trailers, and Stackers (metal pallets)"
332999,h,All Other Miscellaneous Fabricated Metal Product Manufacturing,3599,*,"Industrial and Commercial Machinery and Equipment, NEC (flexible metal hose)"
332999,i,All Other Miscellaneous Fabricated Metal Product Manufacturing,3914,*,"Silverware, Plated Ware, and Stainless Steel Ware (precious plated hollowware)"
332999,j,All Other Miscellaneous Fabricated Metal Product Manufacturing,3999,*,"Manufacturing Industries, NEC (other miscellaneous metal products, such as combs, hair curlers, etc.)"
333111,a,Farm Machinery and Equipment Manufacturing,3523,*,"Farm Machinery and Equipment (except corrals, stalls, holding gates, hand clippers for animals, and farm conveyors/elevators)"
333111,b,Farm Machinery and Equipment Manufacturing,3559,*,"Industrial and Commercial Machinery and Equipment, NEC (cotton ginning machinery)"
333112,,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,3524,*,Lawn and Garden Tractors and Home Lawn and Garden Equipment (except nonpowered lawnmowers)
33312,,Construction Machinery Manufacturing,3531,*,"Construction Machinery and Equipment (except railway track maintenance equipment; winches, aerial work platforms; and automotive wrecker hoists)"
333131,,Mining Machinery and Equipment Manufacturing,3532,,"Mining Machinery and Equipment, Except Oil and Gas Field Machinery and Equipment"
333132,,Oil and Gas Field Machinery and Equipment Manufacturing,3533,,Oil and Gas Field Machinery and Equipment
33321,,Sawmill and Woodworking Machinery Manufacturing,3553,,Woodworking Machinery
33322,,Plastics and Rubber Industry Machinery Manufacturing,3559,*,"Special Industry Machinery, NEC (rubber and plastics manufacturing machinery)"
333291,,Paper Industry Machinery Manufacturing,3554,,Paper Industries Machinery
333292,,Textile Machinery Manufacturing,3552,,Textile Machinery
333293,,Printing Machinery and Equipment Manufacturing,3555,,Printing Trades Machinery and Equipment
333294,,Food Product Machinery Manufacturing,3556,,Food Products Machinery
