year,value,subseries_id,source_id,units,month
1839,12.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1839,15.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1839,12.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1839,9.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1839,6.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1839,5.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1839,5.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1839,4.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1839,3.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1839,2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1839,0.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1840,-1.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1840,-2.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1840,-5.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1840,-6.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1840,-6.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1840,-6.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1840,-6.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1840,-7.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1840,-6.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1840,-5.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1840,-4.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1840,-3.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1841,-2.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1841,-2.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1841,-3.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1841,-3.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1841,-3.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1841,-2.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1841,-1.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1841,-0.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1841,-0.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1841,-1.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1841,-2.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1841,-4.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1842,-6.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1842,-7.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
