year,value,subseries_id,source_id,units,industry
1969,-0.2384,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
1969,0.1101,S707-A-23-Textiles,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,23 Textiles
1969,0.6409,S707-A-24-Clothing---Footwear,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,24 Clothing & Footwear
1969,0.2419,S707-A-25-Wood---Cork,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,25 Wood & Cork
1969,0.6545,S707-A-26-Furniture,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,26 Furniture
1969,-0.3471,S707-A-27-Paper,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,27 Paper
1969,0.808,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1969,0.2761,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1969,-0.1016,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1969,-0.2096,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1969,1.544,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1969,-0.1023,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1969,-0.1391,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1969,0.0073,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1969,0.1829,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1969,0.6696,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1969,-0.0072,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1969,0.7539,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
