r/R,MathCad File PRICEmktpricedev.xmcd; Column: p(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: p(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: p(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: VR1/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR2/VRR,MathCad File PRICEmktpricedev.xmcd; Column: VR3/VRR,MathCad File PRICEmktpricedev.xmcd; Column: %NMAWDtptv(r) = m,MathCad File PRICEmktpricedev.xmcd; Column: CVpv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r),MathCad File PRICEmktpricedev.xmcd; Column: pm(r)1/v1,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)2/v2,MathCad File PRICEmktpricedev.xmcd; Column: pm(r)3/v3,MathCad File PRICEmktpricedev.xmcd; Column: dpmv(r),MathCad File PRICEmktpricedev.xmcd; Column: dpv(r)
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14
0.527,1.102,1.058,0.761,0.923,0.953,1.393,0.131,0.11,0.154,1.065,1.015,0.752,0.159,0.154
0.537,1.104,1.059,0.756,0.925,0.954,1.386,0.134,0.112,0.157,1.018,1.004,0.754,0.146,0.157
0.546,1.106,1.06,0.751,0.926,0.955,1.379,0.137,0.114,0.16,1.081,1.067,0.727,0.177,0.16
0.556,1.108,1.061,0.746,0.928,0.956,1.372,0.139,0.117,0.164,1.127,1.016,0.754,0.157,0.164
0.566,1.111,1.063,0.742,0.929,0.957,1.365,0.142,0.119,0.167,1.08,1.022,0.767,0.185,0.167
0.576,1.113,1.064,0.737,0.931,0.958,1.358,0.145,0.121,0.17,1.066,1.004,0.814,0.208,0.17
0.585,1.115,1.065,0.732,0.932,0.959,1.351,0.148,0.123,0.173,1.102,1.116,0.69,0.167,0.173
0.595,1.117,1.066,0.727,0.933,0.96,1.343,0.15,0.126,0.177,1.154,1.109,0.713,0.156,0.177
0.605,1.119,1.067,0.722,0.935,0.96,1.336,0.153,0.128,0.18,1.069,1.078,0.674,0.18,0.18
0.615,1.122,1.068,0.717,0.936,0.961,1.329,0.156,0.13,0.183,1.18,1.119,0.639,0.15,0.183
0.624,1.124,1.07,0.712,0.938,0.962,1.322,0.159,0.133,0.186,1.188,1.068,0.679,0.191,0.186
0.634,1.126,1.071,0.707,0.939,0.963,1.314,0.162,0.135,0.19,1.16,1.046,0.714,0.161,0.19
0.644,1.129,1.072,0.702,0.941,0.964,1.307,0.165,0.138,0.193,1.156,1.059,0.717,0.207,0.193
0.654,1.131,1.073,0.697,0.942,0.965,1.299,0.167,0.14,0.196,1.137,1.054,0.668,0.22,0.196
0.663,1.133,1.074,0.692,0.944,0.966,1.292,0.17,0.142,0.199,1.241,1.066,0.775,0.224,0.199
0.673,1.136,1.075,0.687,0.945,0.967,1.284,0.173,0.145,0.203,1.179,1.039,0.678,0.209,0.203
0.683,1.138,1.077,0.682,0.947,0.968,1.277,0.176,0.147,0.206,1.2,1.108,0.672,0.206,0.206
0.693,1.14,1.078,0.677,0.948,0.969,1.269,0.179,0.15,0.209,1.184,1.126,0.622,0.208,0.209
0.702,1.143,1.079,0.672,0.95,0.97,1.261,0.182,0.152,0.213,1.205,1.091,0.664,0.275,0.213
0.712,1.145,1.08,0.666,0.951,0.971,1.253,0.185,0.155,0.216,1.037,1.184,0.633,0.224,0.216
0.722,1.148,1.081,0.661,0.953,0.972,1.246,0.188,0.157,0.219,1.194,1.076,0.641,0.234,0.219
0.732,1.15,1.083,0.656,0.954,0.973,1.238,0.191,0.16,0.223,1.148,1.081,0.649,0.236,0.223
0.742,1.152,1.084,0.651,0.956,0.974,1.23,0.194,0.162,0.226,1.11,1.038,0.627,0.253,0.226
0.751,1.155,1.085,0.646,0.957,0.975,1.222,0.197,0.165,0.23,1.114,1.128,0.611,0.232,0.23
0.761,1.157,1.086,0.641,0.959,0.976,1.214,0.2,0.167,0.233,1.143,1.052,0.629,0.24,0.233
0.771,1.16,1.087,0.635,0.961,0.977,1.206,0.203,0.17,0.236,1.101,1.1,0.68,0.261,0.236
0.781,1.162,1.089,0.63,0.962,0.978,1.198,0.206,0.172,0.24,1.114,0.999,0.606,0.229,0.24
0.79,1.165,1.09,0.625,0.964,0.979,1.19,0.209,0.175,0.243,1.138,1.019,0.668,0.264,0.243
0.8,1.168,1.091,0.62,0.965,0.98,1.181,0.212,0.177,0.247,1.166,1.043,0.623,0.264,0.247
0.81,1.17,1.092,0.614,0.967,0.981,1.173,0.215,0.18,0.25,1.11,1.183,0.662,0.252,0.25
0.82,1.173,1.093,0.609,0.969,0.982,1.165,0.218,0.182,0.254,1.28,1.075,0.605,0.266,0.254
0.829,1.175,1.095,0.604,0.97,0.983,1.156,0.222,0.185,0.257,1.102,1.12,0.579,0.254,0.257
0.839,1.178,1.096,0.598,0.972,0.983,1.148,0.225,0.188,0.261,1.156,1.1,0.587,0.248,0.261
0.849,1.18,1.097,0.593,0.973,0.984,1.139,0.228,0.19,0.264,1.201,1.147,0.62,0.257,0.264
0.859,1.183,1.098,0.587,0.975,0.985,1.131,0.231,0.193,0.268,1.204,1.136,0.482,0.28,0.268
0.868,1.186,1.1,0.582,0.977,0.986,1.122,0.234,0.195,0.271,1.12,1.205,0.568,0.235,0.271
0.878,1.188,1.101,0.577,0.978,0.987,1.114,0.238,0.198,0.275,1.067,1.096,0.558,0.275,0.275
0.888,1.191,1.102,0.571,0.98,0.988,1.105,0.241,0.201,0.278,1.081,1.046,0.561,0.316,0.278
0.898,1.194,1.103,0.566,0.982,0.989,1.096,0.244,0.203,0.282,1.212,1.181,0.521,0.253,0.282
0.907,1.197,1.105,0.56,0.984,0.99,1.087,0.247,0.206,0.285,1.129,1.039,0.583,0.291,0.285
0.917,1.199,1.106,0.555,0.985,0.991,1.078,0.251,0.209,0.289,1.147,1.14,0.55,0.29,0.289
0.927,1.202,1.107,0.549,0.987,0.992,1.069,0.254,0.211,0.293,1.211,1.102,0.537,0.286,0.293
0.937,1.205,1.108,0.544,0.989,0.993,1.06,0.257,0.214,0.296,1.179,1.172,0.536,0.332,0.296
0.946,1.208,1.11,0.538,0.99,0.994,1.051,0.26,0.217,0.3,1.286,1.201,0.516,0.284,0.3
0.956,1.21,1.111,0.532,0.992,0.995,1.042,0.264,0.22,0.303,1.202,1.071,0.488,0.285,0.303
0.966,1.213,1.112,0.527,0.994,0.996,1.033,0.267,0.222,0.307,1.152,1.078,0.532,0.322,0.307
0.976,1.216,1.113,0.521,0.996,0.997,1.023,0.271,0.225,0.311,1.105,1.094,0.506,0.325,0.311
0.985,1.219,1.115,0.515,0.997,0.998,1.014,0.274,0.228,0.314,1.252,1.138,0.509,0.337,0.314
