Index,Ams1_72.xmcd; Column: tpm,Ams1_72.xmcd; Column: td,Ams1_72.xmcd; Column: tv,Ams1_72.xmcd; Column: tp(r),Ams1_72.xmcd; Column: tpmr = tpm/TPM,Ams1_72.xmcd; Column: tvr = tv/TV,Ams1_72.xmcd; Column: tdr = td/TD,Ams1_72.xmcd; Column: tp(r) = tp(r)/TP(r),Ams1_72.xmcd; Column: qtpmtv72,Ams1_72.xmcd; Column: qtpoptv72,Ams1_72.xmcd; Column: qtpmtpop72,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: ,Ams1_72.xmcd; Column: 
,FPR009_C1,FPR009_C2,FPR009_C3,FPR009_C4,FPR009_C5,FPR009_C6,FPR009_C7,FPR009_C8,FPR009_C9,FPR009_C10,FPR009_C11,FPR009_C12,FPR009_C13,FPR009_C14,FPR009_C15,FPR009_C16,FPR009_C17,FPR009_C18,FPR009_C19,FPR009_C20,FPR009_C21,FPR009_C22,FPR009_C23,FPR009_C24,FPR009_C25,FPR009_C26,FPR009_C27,FPR009_C28,FPR009_C29,FPR009_C30,FPR009_C31,FPR009_C32,FPR009_C33,FPR009_C34,FPR009_C35,FPR009_C36
39,5422.501,5231.6033587,654.2200341,691.7424738,0.0030872,0.0029785,0.0029785,0.0028081,1.0364948799731408,0.942789994963908,1.0993910473273745,,,,,,,,,,,,,,,,,,,,,,,,,
40,5595.703,5566.6874385,696.1228129,715.5516712,0.0031858,0.0031693,0.0031693,0.0029047,1.0052061969520083,0.9165115325150665,1.096774193548387,,,,,,,,,,,,,,,,,,,,,,,,,
41,7926.304,7892.8371912,987.0114117,1012.5737864,0.0045127,0.0044936,0.0044936,0.0041105,1.0042504895851876,0.914745415702332,1.0978469772533754,,,,,,,,,,,,,,,,,,,,,,,,,
42,2825.1,3018.6379897,377.4853163,372.7326268,0.0016084,0.0017186,0.0017186,0.0015131,0.9358780402653323,0.8804259280809962,1.0629832793602538,,,,,,,,,,,,,,,,,,,,,,,,,
43,7185.999,8493.5960081,1062.1372244,1047.0140783,0.0040912,0.0048356,0.0048356,0.0042503,0.8460584001985275,0.8789602117627596,0.9625673481871867,,,,,,,,,,,,,,,,,,,,,,,,,
44,5896.0,5793.7136835,724.5127935,735.4174361,0.0033568,0.0032985,0.0032985,0.0029854,1.0176747006214946,0.9050780657874791,1.124405439807061,,,,,,,,,,,,,,,,,,,,,,,,,
45,8189.396,8741.0558672,1093.0824598,1115.5574778,0.0046625,0.0049765,0.0049765,0.0045285,0.9369034461971265,0.9099768913895309,1.0295903720878876,,,,,,,,,,,,,,,,,,,,,,,,,
46,4485.704,5993.556049,749.5033882,706.8756553,0.0025538,0.0034123,0.0034123,0.0028695,0.74841016323301,0.8409284060604285,0.8899808328977175,,,,,,,,,,,,,,,,,,,,,,,,,
47,8067.003,8497.7004733,1062.650494,1045.0075013,0.0045928,0.004838,0.004838,0.0042421,0.9493178999586606,0.8768292682926829,1.0826713184507673,,,,,,,,,,,,,,,,,,,,,,,,,
48,8543.9,7365.8848019,921.1152062,958.7814689,0.0048643,0.0041936,0.0041936,0.0038921,1.1599341854254104,0.9281047310186952,1.2497880321677244,,,,,,,,,,,,,,,,,,,,,,,,,
49,10466.4,11253.5444252,1407.2730124,1415.1503619,0.0059588,0.006407,0.006407,0.0057447,0.9300452629936007,0.8966286873731856,1.0372691350288092,,,,,,,,,,,,,,,,,,,,,,,,,
50,6701.301,6764.9979994,845.9733888,868.1173978,0.0038152,0.0038515,0.0038515,0.003524,0.9905751006101519,0.914968194210048,1.082633371169126,,,,,,,,,,,,,,,,,,,,,,,,,
51,5553.0,5567.4952406,696.2238298,699.1615239,0.0031615,0.0031697,0.0031697,0.0028382,0.9974130043852729,0.8954159699656118,1.11391022479036,,,,,,,,,,,,,,,,,,,,,,,,,
52,18040.1,18710.764506,2339.8098355,2269.7258673,0.0102707,0.0106526,0.0106526,0.0092137,0.9641495972814149,0.8649249948369412,1.1147204706035578,,,,,,,,,,,,,,,,,,,,,,,,,
53,8459.1,8456.0716539,1057.4447463,1094.8370192,0.004816,0.0048143,0.0048143,0.0044444,1.000353114679185,0.9231664000997031,1.083610836108361,,,,,,,,,,,,,,,,,,,,,,,,,
54,4306.503,4369.3070489,546.3885564,543.4323692,0.0024518,0.0024876,0.0024876,0.002206,0.9856086187489951,0.886798520662486,1.1114233907524933,,,,,,,,,,,,,,,,,,,,,,,,,
55,65330.49,63070.0470778,7887.0062433,8209.5270785,0.0371945,0.0359076,0.0359076,0.0333258,1.035839209526674,0.9280987868863417,1.1160872357152716,,,,,,,,,,,,,,,,,,,,,,,,,
56,17099.1,19012.4280815,2377.5333289,2361.6012663,0.009735,0.0108243,0.0108243,0.0095867,0.8993653169258059,0.8856646619180917,1.0154693481594292,,,,,,,,,,,,,,,,,,,,,,,,,
