,"Shaikh PRICEmktpricedev.xmcd, Ratio (r/R)","Shaikh IO fixed capital 1947, Ratio","Shaikh IO fixed capital 1972, Ratio","Shaikh IO circ. capital 1998, Ratio","Shaikh IO fixed capital 1998, Ratio",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
36,0.082,0.0091201,0.0087584,0.0019258,0.0019258,0.068,0.096,1689.4980749,7347.2297387,8397.0229619,12035.7904814,17699.3878512,37422.2574552,34819.539405098,0.0086477,0.0102795,0.0092031,0.0100216,0.0100768,0.0024449,0.0022749,3672.115,7281.397,8096.485,11289.47,15383.8,29477.0,29477.0,0.0101874,0.0088737,0.0094001,1720.6512265,2104.4343863,1949.956527,2091.5534616,2283.7389568,461.0215108,596.8026496,0.0082033,0.0098586,0.0086434,0.0092123,0.0092706,0.0019974,0.0020009,3481.8890966,2031.9107392,1857.2693246,1985.6168498,2213.3356316,580.1659743,617.1529522,0.0086477,0.0102795,0.0092031,0.0100216,0.0100768,0.0024449,0.0022749
37,0.084,0.0048365,0.0064393,0.0133127,0.0133127,0.07,0.099,977.6903755,3642.0368281,5076.9239419,8684.6218446,12696.3782625,214606.5361297,208666.936433462,0.0050043,0.0050956,0.0055643,0.0072312,0.0072284,0.0140208,0.0136328,1947.371,3300.621,4402.518,8499.321,11310.4,203768.0,203768.0,0.0046179,0.0048251,0.0070769,1002.0848806,1060.2482678,1170.1020518,1510.0515896,1645.9550046,3311.4964888,3646.7282322,0.0047775,0.0049669,0.0051866,0.006651,0.0066816,0.0143472,0.0122263,2014.9235496,1007.2223146,1122.9235818,1432.754375,1587.7015995,3327.0951193,3698.481314,0.0050043,0.0050956,0.0055643,0.0072312,0.0072284,0.0140208,0.0136328
38,0.087,0.0064067,0.0081405,0.0042322,0.0042322,0.072,0.102,1509.8090847,5006.6242004,6771.1084169,9533.8729522,14620.129366,59607.8110277,57699.3273014903,0.0077279,0.0070047,0.0074211,0.0079383,0.0083237,0.0038943,0.0037697,2579.567,5490.0,7376.56,10399.35,14298.4,64779.0,64779.0,0.007681,0.0080847,0.008659,1436.6520459,1443.6737398,1581.3864151,1661.1496627,1893.7464832,881.8944792,1037.5494106,0.0068493,0.0067631,0.0070097,0.0073166,0.0076875,0.0038208,0.0034786,3111.5677893,1384.6053331,1497.6464889,1572.8604454,1828.2696293,924.1137792,1022.6818273,0.0077279,0.0070047,0.0074211,0.0079383,0.0083237,0.0038943,0.0037697
39,0.089,0.0020277,0.0030872,0.0263867,0.0263867,0.075,0.105,462.4514349,1740.1576536,1999.0087473,2992.5948924,5231.6033587,309412.5367427,355371.327588625,0.0023671,0.0024346,0.0021909,0.0024918,0.0029785,0.0202148,0.0232174,816.4291,1939.813,2049.127,3119.838,5422.501,403881.0,403881.0,0.002714,0.0022458,0.0025977,459.3255788,497.12758,463.9968836,525.3691615,691.7424738,4902.9539486,7908.3416674,0.0021899,0.0023289,0.0020567,0.002314,0.0028081,0.0212423,0.0265142,953.0668504,481.2487359,442.1445128,493.7064044,654.2200341,4796.8946305,6298.7181251,0.0023671,0.0024346,0.0021909,0.0024918,0.0029785,0.0202148,0.0232174
40,0.092,0.0035345,0.0031858,0.0033609,0.0033609,0.077,0.108,740.6663688,2255.5845005,3098.2253574,4347.5122534,5566.6874385,57889.6082554,56404.6610105345,0.0037911,0.0031558,0.0033956,0.0036199,0.0031693,0.0037821,0.0036851,1423.132,2298.048,2798.676,4270.561,5595.703,51443.0,51443.0,0.0032152,0.0030673,0.0035559,749.4446106,649.7376459,705.2326326,743.9930748,715.5516712,801.4282134,951.775127,0.003573,0.0030438,0.003126,0.0032769,0.0029047,0.0034722,0.003191,1526.4404215,623.7924405,685.271309,717.2352824,696.1228129,897.4760814,999.7347368,0.0037911,0.0031558,0.0033956,0.0036199,0.0031693,0.0037821,0.0036851
41,0.094,0.0039428,0.0045127,0.0306172,0.0306172,0.079,0.111,792.2352123,2580.5305852,3495.8003056,5148.837466,7892.8371912,398107.6681892,420684.854848973,0.0040551,0.0036104,0.0038314,0.0042872,0.0044936,0.0260095,0.0274845,1587.533,2840.243,3625.226,5430.69,7926.304,468635.0,468635.0,0.0039738,0.0039732,0.0045218,799.1101003,748.4600559,816.1256167,894.038405,1012.5737864,5862.8431553,7985.5704172,0.0038098,0.0035063,0.0036176,0.0039378,0.0041105,0.025401,0.0267731,1632.7187278,713.6577996,773.2076835,849.4347293,987.0114117,6171.9559137,7456.3565332,0.0040551,0.0036104,0.0038314,0.0042872,0.0044936,0.0260095,0.0274845
42,0.097,0.0014073,0.0016084,0.0153571,0.0153571,0.081,0.114,285.6221027,914.6286405,1370.834558,2196.0434114,3018.6379897,280735.6867132,269834.365635791,0.001462,0.0012797,0.0015024,0.0018285,0.0017186,0.0183412,0.017629,566.6161,892.2745,1359.095,2194.688,2825.1,235059.0,235059.0,0.0012484,0.0014896,0.0018274,273.1673569,255.4026799,305.2778913,358.4215287,372.7326268,4028.1115083,4728.6304706,0.0013023,0.0011965,0.0013532,0.0015787,0.0015131,0.017452,0.0158536,588.6390164,252.9448273,303.2037646,362.2945088,377.4853163,4352.3107447,4782.6329185,0.001462,0.0012797,0.0015024,0.0018285,0.0017186,0.0183412,0.017629
43,0.099,0.0042217,0.0040912,0.0244573,0.0244573,0.083,0.117,937.6874406,2936.7342724,4661.9451948,7714.4236692,8493.5960081,338120.6631495,323767.87952606,0.0047995,0.0041088,0.0051095,0.0064234,0.0048356,0.0220904,0.0211526,1699.799,3044.854,4416.246,7424.928,7185.999,374349.0,374349.0,0.00426,0.0048402,0.0061823,902.9268729,836.4500752,1040.2100544,1247.6828063,1047.0140783,4785.9980319,5520.5756482,0.0043047,0.0039185,0.0046108,0.0054954,0.0042503,0.0207356,0.0185088,1932.4814417,812.1675949,1031.1378024,1272.6949383,1062.1372244,5241.9634014,5738.5682321,0.0047995,0.0041088,0.0051095,0.0064234,0.0048356,0.0220904,0.0211526
44,0.102,0.00452,0.0033568,0.0050928,0.0050928,0.085,0.12,873.8051972,2217.6552292,3127.5166596,4678.7770598,5793.7136835,83783.5419461,82337.2844382279,0.0044726,0.0031027,0.0034277,0.0038958,0.0032985,0.0054738,0.0053793,1819.928,2226.44,3125.267,4759.034,5896.0,77952.0,77952.0,0.003115,0.0034253,0.0039626,828.9491728,621.3693247,697.8922984,774.654804,735.4174361,1393.0384247,1589.926959,0.003952,0.0029109,0.0030935,0.003412,0.0029854,0.0060354,0.0053305,1800.8264311,613.3029232,691.7500143,771.8860328,724.5127935,1298.915767,1459.3730715,0.0044726,0.0031027,0.0034277,0.0038958,0.0032985,0.0054738,0.0053793
45,0.104,0.0044797,0.0046625,0.0396798,0.0396798,0.087,0.123,889.3733912,3029.0918858,4260.5305742,6577.6421329,8741.0558672,274645.7706393,327660.308741852,0.0045523,0.004238,0.0046695,0.0054768,0.0049765,0.0179434,0.021407,1803.713,3231.349,4570.754,6718.95,8189.396,607350.0,607350.0,0.004521,0.0050095,0.0055945,854.4104506,863.5540101,976.3059791,1117.4680649,1115.5574778,4716.0180029,11936.4007662,0.0040734,0.0040455,0.0043276,0.0049219,0.0045285,0.0204324,0.040019,1832.9109453,837.7095248,942.352162,1085.1532412,1093.0824598,4257.8973572,5807.5589259,0.0045523,0.004238,0.0046695,0.0054768,0.0049765,0.0179434,0.021407
46,0.107,0.0009749,0.0025538,0.0122888,0.0122888,0.09,0.126,395.7274485,1879.5102337,2861.6703094,4556.5462465,5993.556049,102917.3371186,122743.772627326,0.0020255,0.0026296,0.0031364,0.003794,0.0034123,0.0067239,0.0080192,392.5406,1466.862,2089.17,3719.638,4485.704,188096.0,188096.0,0.0020523,0.0022897,0.0030971,345.0156278,491.4391886,588.4076253,691.212863,706.8756553,1556.1196665,2483.7350258,0.0016449,0.0023022,0.0026082,0.0030445,0.0028695,0.006742,0.0083272,815.5552874,519.7873435,632.9496188,751.7208793,749.5033882,1595.5514505,2175.5509389,0.0020255,0.0026296,0.0031364,0.003794,0.0034123,0.0067239,0.0080192
47,0.11,0.0016061,0.0045928,0.0108569,0.0108569,0.092,0.129,441.0547682,1878.8536873,3683.3955652,5637.2694457,8497.7004733,149639.5839108,138656.385490403,0.0022575,0.0026287,0.004037,0.0046938,0.004838,0.0097764,0.0090588,646.6878,2089.946,3598.52,5634.486,8067.003,166178.0,166178.0,0.002924,0.003944,0.0046915,399.4431118,509.1608005,767.435908,897.1583307,1045.0075013,1990.3513868,2330.7963758,0.0019044,0.0023853,0.0034017,0.0039515,0.0042421,0.0086233,0.0078144,908.970428,519.6057726,814.7003557,930.0142949,1062.650494,2319.8973259,2457.5913155,0.0022575,0.0026287,0.004037,0.0046938,0.004838,0.0097764,0.0090588
48,0.112,0.0028971,0.0048643,0.0112549,0.0112549,0.094,0.132,549.759887,1715.3139586,2454.7939468,3649.4991149,7365.8848019,236030.2884956,220692.731016863,0.0028139,0.0023999,0.0026904,0.0030387,0.0041936,0.0154205,0.0144185,1166.483,1905.782,2749.267,4177.911,8543.9,172271.0,172271.0,0.0026664,0.0030132,0.0034787,546.0582822,501.2812877,578.5252957,643.363391,958.7814689,2965.5182747,3553.4505535,0.0026034,0.0023483,0.0025644,0.0028337,0.0038921,0.0128482,0.0119136,1133.0009691,474.3780959,542.95594,602.0798507,921.1152062,3659.2325426,3911.6304468,0.0028139,0.0023999,0.0026904,0.0030387,0.0041936,0.0154205,0.0144185
49,0.115,0.006041,0.0059588,0.03572,0.03572,0.096,0.135,1188.8678373,4208.4652334,5627.3473249,8479.5744374,11253.5444252,574323.8140947,546701.533632835,0.0060852,0.005888,0.0061675,0.0070605,0.006407,0.0375222,0.0357175,2432.328,4668.97,5742.404,8756.484,10466.4,546739.0,546739.0,0.0065323,0.0062936,0.0072911,1187.0096638,1182.8671036,1258.3158327,1398.1868049,1415.1503619,7880.5899026,9189.1719631,0.0056591,0.0055413,0.0055776,0.0061583,0.0057447,0.034143,0.0308084,2450.1394948,1163.8707387,1244.6672604,1398.9264692,1407.2730124,8903.8758708,9689.9175358,0.0060852,0.005888,0.0061675,0.0070605,0.006407,0.0375222,0.0357175
50,0.118,0.00534,0.0038152,0.0140183,0.0140183,0.098,0.139,903.9379071,3098.3268836,3976.2592645,5107.7135117,6764.9979994,270278.9066288,263379.925472012,0.0046268,0.0043349,0.004358,0.0042529,0.0038515,0.0176581,0.0172073,2150.105,3402.816,4131.825,5137.464,6701.301,214567.0,214567.0,0.0047609,0.0045285,0.0042777,920.6107877,892.0357798,925.9173391,880.8153559,868.1173978,3601.1679831,4792.935504,0.004389,0.0041789,0.0041042,0.0038796,0.003524,0.0156022,0.0160692,1862.9269779,856.8567871,879.4764993,842.6502628,845.9733888,4190.1968472,4668.2323012,0.0046268,0.0043349,0.004358,0.0042529,0.0038515,0.0176581,0.0172073
51,0.12,0.0027328,0.0031615,0.0232616,0.0232616,0.101,0.142,483.9057593,1833.3943601,2656.0096599,3683.7184243,5567.4952406,424624.0822988,398999.799272637,0.0024769,0.0025651,0.002911,0.0030672,0.0031697,0.0277419,0.0260678,1100.316,2142.075,2785.797,3743.056,5553.0,356048.0,356048.0,0.002997,0.0030532,0.0031166,477.9669868,519.9345196,603.0950399,610.0885245,699.1615239,5785.5148833,6676.3430089,0.0022787,0.0024357,0.0026733,0.0026871,0.0028382,0.025066,0.0223837,997.2820993,507.0337831,587.4612097,607.7252163,696.2238298,6583.0460582,7072.0034861,0.0024769,0.0025651,0.002911,0.0030672,0.0031697,0.0277419,0.0260678
52,0.123,0.0051432,0.0102707,0.0030256,0.0030256,0.103,0.145,1402.080468,5802.6036424,10546.1552536,15256.9026393,18710.764506,44693.8748955,45914.5756805577,0.0071765,0.0081184,0.0115585,0.0127036,0.0106526,0.00292,0.0029997,2070.858,5583.653,11717.98,15816.77,18040.1,46311.0,46311.0,0.0078121,0.0128428,0.0131698,1292.0944265,1550.6347921,2214.6097594,2364.1350328,2269.7258673,680.9471276,958.6373056,0.0061601,0.0072642,0.0098165,0.0104129,0.0092137,0.0029502,0.003214,2889.5497228,1604.7371697,2332.6184452,2517.0231239,2339.8098355,692.8995533,813.8050191,0.0071765,0.0081184,0.0115585,0.0127036,0.0106526,0.00292,0.0029997
53,0.126,0.0014166,0.004816,0.0075493,0.0075493,0.105,0.148,457.0141958,2002.5439643,3348.3204792,6648.5566636,8456.0716539,140598.7633808,136083.395632578,0.0023392,0.0028018,0.0036697,0.0055359,0.0048143,0.0091857,0.0088907,570.3808,2381.882,3816.151,7267.794,8459.1,115551.0,115551.0,0.0033325,0.0041825,0.0060515,419.3766209,549.4384474,750.5697649,1113.7599109,1094.8370192,1917.6626379,2688.2558265,0.0019994,0.0025739,0.003327,0.0049056,0.0044444,0.0083084,0.0090129,941.8612362,553.812897,740.5878182,1096.8524384,1057.4447463,2179.7353793,2411.9867982,0.0023392,0.0028018,0.0036697,0.0055359,0.0048143,0.0091857,0.0088907
54,0.128,0.0022081,0.0024518,0.0263938,0.0263938,0.107,0.151,427.7052263,1390.8431127,1818.4537103,2572.0506527,4369.3070489,468459.0002204,444169.74764785,0.0021892,0.0019459,0.001993,0.0021416,0.0024876,0.0306057,0.0290188,889.0608,1351.656,1899.589,2649.663,4306.503,403991.0,403991.0,0.0018911,0.0020819,0.0022062,416.2977967,384.9847669,403.603492,426.0813179,543.4323692,6335.6250948,7656.4704837,0.0019847,0.0018035,0.001789,0.0018767,0.002206,0.0274494,0.0256697,881.4583372,384.6441663,402.2090102,424.3266882,546.3885564,7262.6290015,7872.6104864,0.0021892,0.0019459,0.001993,0.0021416,0.0024876,0.0306057,0.0290188
55,0.131,0.030277,0.0371945,0.0255897,0.0255897,0.11,0.154,6316.5085738,20405.3190984,35139.8715488,39886.4349049,63070.0470778,487656.1127689,469029.078792319,0.032331,0.028549,0.0385131,0.0332113,0.0359076,0.0318599,0.030643,12190.69,22534.45,39314.89,42273.43,65330.49,391683.0,391683.0,0.0315279,0.0430889,0.0351988,6308.629186,6054.0427369,8268.8288088,7081.9026474,8209.5270785,6751.0916165,8723.0921512,0.0300766,0.0283612,0.0366525,0.0311923,0.0333258,0.0292494,0.0292458,13017.7019186,5643.18641,7772.3028501,6580.3054105,7887.0062433,7560.2463091,8313.2254361,0.032331,0.028549,0.0385131,0.0332113,0.0359076,0.0318599,0.030643
56,0.134,0.003583,0.009735,0.0043384,0.0043384,0.112,0.157,1004.7742281,12537.4895936,13897.0987435,23036.6466957,19012.4280815,80517.1038082,74628.3134251156,0.0051429,0.0175412,0.0152311,0.0191814,0.0108243,0.0052604,0.0048757,1442.654,11912.92,13557.14,21013.92,17099.1,66404.0,66404.0,0.0166673,0.0148585,0.0174972,1070.8126477,3329.2072886,2964.6106504,3549.992305,2361.6012663,1088.0976183,1265.8342649,0.0051051,0.0155963,0.013141,0.015636,0.0095867,0.0047142,0.0042439,2070.7407017,3467.3013712,3073.7864258,3800.4943599,2377.5333289,1248.2754157,1322.7367374,0.0051429,0.0175412,0.0152311,0.0191814,0.0108243,0.0052604,0.0048757
57,0.137,0.0059829,0.0072961,0.0036088,0.0036088,0.114,0.16,1409.2478165,4180.4261866,5645.4569689,8653.4909378,15762.3763052,52785.8420976,50468.9986136682,0.0072132,0.0058488,0.0061874,0.0072053,0.008974,0.0034486,0.0032973,2408.943,3589.258,4644.042,7327.647,12815.2,55237.0,55237.0,0.0050217,0.0050898,0.0061013,1467.2258659,1182.1846125,1250.4293361,1406.3752932,1909.8069477,749.6893679,922.9694655,0.0069951,0.0055382,0.0055427,0.0061944,0.0077527,0.0032481,0.0030944,2904.320922,1156.1164092,1248.6727855,1427.6185218,1971.1093631,818.3512058,894.529107,0.0072132,0.0058488,0.0061874,0.0072053,0.008974,0.0034486,0.0032973
58,0.139,0.0032011,0.0039973,0.0047956,0.0047956,0.117,0.164,715.5790517,2482.6081813,3501.118184,5036.774338,7136.4627431,67210.6346774,66329.4628372977,0.0036627,0.0034734,0.0038372,0.0041938,0.004063,0.0043911,0.0043335,1288.887,3028.167,3612.917,5188.167,7020.997,73403.0,73403.0,0.0042367,0.0039597,0.0043199,663.960114,685.9215069,773.5693093,824.4538645,877.1144847,939.9605089,1285.1766621,0.0031655,0.0032133,0.0034289,0.0036313,0.0035606,0.0040724,0.0043088,1474.7379324,686.576901,774.3839018,830.9470001,892.4256254,1041.9821252,1175.645184,0.0036627,0.0034734,0.0038372,0.0041938,0.004063,0.0043911,0.0043335
59,0.142,0.0016101,0.0037354,0.006009,0.006009,0.119,0.167,359.3502681,1285.7123254,1778.6708758,3161.355383,4864.3841327,95555.3672038,95406.6748111708,0.0018393,0.0017988,0.0019494,0.0026323,0.0027694,0.0062429,0.0062332,648.2773,1427.588,2223.629,4273.079,6561.003,91975.0,91975.0,0.0019973,0.0024371,0.003558,344.6596592,367.4600566,414.6320204,547.0376322,646.0129881,1362.7963911,1960.6183995,0.0016432,0.0017214,0.0018379,0.0024094,0.0026224,0.0059044,0.0065733,740.5855022,355.5697555,393.4097681,521.547839,608.298706,1481.4171161,1691.0192388,0.0018393,0.0017988,0.0019494,0.0026323,0.0027694,0.0062429,0.0062332
60,0.145,0.0079373,0.0068454,0.0247529,0.0247529,0.121,0.17,1603.7206577,4927.3929688,6132.5133991,7994.8700909,12347.5727654,381809.1397281,368956.925724196,0.0082086,0.0068939,0.0067212,0.0066569,0.0070298,0.0249446,0.024105,3195.852,4964.204,6279.416,8147.989,12023.6,378874.0,378874.0,0.0069454,0.0068822,0.0067844,1467.9531357,1340.5059286,1342.1649591,1301.9428245,1551.6833352,5820.3352602,6705.327879,0.0069985,0.0062798,0.0059493,0.0057344,0.0062989,0.0252169,0.0224809,3305.1102897,1362.6935655,1356.4008424,1318.9618737,1544.0829364,5919.2760304,6539.5137284,0.0082086,0.0068939,0.0067212,0.0066569,0.0070298,0.0249446,0.024105
61,0.148,0.0557692,0.0436932,0.0322838,0.0322838,0.123,0.173,15263.6150597,41569.4284002,46622.8807722,60751.0180155,89804.3154679,499642.5500471,473996.328710841,0.0781267,0.0581596,0.0510984,0.0505841,0.0511282,0.032643,0.0309675,22454.83,33000.22,37903.53,50503.01,76745.19,494144.0,494144.0,0.0461705,0.041542,0.0420511,20125.4104966,14501.9726363,14246.4601988,14015.4056686,14497.3405172,7173.2349889,8654.485838,0.0959486,0.067937,0.063149,0.061731,0.0588506,0.0310784,0.0290158,31456.8069886,11496.2197987,10312.1364175,10022.461358,11230.1675612,7746.0748383,8401.2666051,0.0781267,0.0581596,0.0510984,0.0505841,0.0511282,0.032643,0.0309675
62,0.15,0.0091576,0.019531,0.029777,0.029777,0.126,0.177,3057.7648946,8676.8934055,11392.3414682,16403.7926327,27057.2220654,531666.7322038,558595.847597482,0.0156512,0.0121398,0.0124859,0.0136586,0.0154044,0.0347353,0.0364946,3687.22,10043.19,14583.98,20915.28,34305.4,455775.0,455775.0,0.0140514,0.015984,0.017415,3684.8477617,3119.4616429,3911.7092747,4599.2925636,5680.819162,7478.2414019,10952.6518804,0.0175676,0.0146137,0.0173391,0.0202576,0.0230608,0.0323998,0.0367208,6301.7522212,2399.6354436,2519.7795029,2706.2324741,3383.5471709,8242.5531938,9900.7362629,0.0156512,0.0121398,0.0124859,0.0136586,0.0154044,0.0347353,0.0364946
63,0.153,0.0010322,0.002574,0.0050377,0.0050377,0.128,0.18,429.6787312,1358.6084539,2049.6855256,3089.3923164,4526.3430144,110176.0370181,104044.185633362,0.0021993,0.0019008,0.0022464,0.0025724,0.002577,0.0071981,0.0067975,415.6044,1536.908,2301.665,3171.209,4521.102,77109.0,77109.0,0.0021503,0.0025226,0.0026405,400.6089899,406.2098159,533.0329681,642.9294472,686.1018523,1362.8198076,2649.475074,0.0019099,0.001903,0.0023627,0.0028318,0.0027852,0.0059045,0.0088829,885.5255365,375.7295207,453.3532979,509.6756585,566.026145,1708.0847659,1844.1133175,0.0021993,0.0019008,0.0022464,0.0025724,0.002577,0.0071981,0.0067975
64,0.156,0.0155704,0.0308361,0.0629725,0.0629725,0.13,0.183,3145.4690257,12817.4645945,18197.8971757,23628.4608789,39877.3033061,1274172.6778321,1230873.72933873,0.0161001,0.0179329,0.0199448,0.0196741,0.0227033,0.0832452,0.0804164,6269.25,18710.89,27078.42,33872.12,54162.3,963874.0,963874.0,0.0261783,0.0296778,0.0282035,5543.1187672,7132.3756588,9368.2836188,10137.5257862,11537.8209297,16748.5422735,26190.2770224,0.026427,0.0334129,0.0415259,0.0446508,0.0468367,0.0725638,0.0878078,6482.5017954,3544.7297668,4025.0451083,3898.1295103,4986.7180177,19753.7958255,21816.4102357,0.0161001,0.0179329,0.0199448,0.0196741,0.0227033,0.0832452,0.0804164
65,0.159,0.1507222,0.1509003,0.0086894,0.0086894,0.133,0.186,26965.1673853,121210.3761378,152170.4406565,195562.6747724,280564.0862225,133817.6717268,150347.840611578,0.138021,0.169585,0.1667779,0.1628345,0.1597331,0.0087427,0.0098226,60686.52,104125.6,130256.3,175213.8,265049.7,133002.0,133002.0,0.1456817,0.1427601,0.1458911,25279.013191,31365.2243241,30929.2004925,29663.7907221,32756.2380097,2021.1169477,4339.3289484,0.1205186,0.1469359,0.1370971,0.1306545,0.132971,0.0087566,0.0145484,55572.5535882,33521.2962889,33657.344136,32263.1523718,35084.9698426,2074.6065358,2664.8145059,0.138021,0.169585,0.1667779,0.1628345,0.1597331,0.0087427,0.0098226
66,0.162,0.0254351,0.0443788,,,0.135,0.19,3952.5000154,20735.444579,29037.8269238,39690.4908261,62673.2880544,,,0.0202308,0.0290109,0.0318253,0.0330481,0.0356817,,,10241.14,25653.23,32616.17,45954.79,77949.29,,,0.0358913,0.0357471,0.0382641,4368.911801,5525.5463588,6397.8576479,6701.4323226,8354.6987212,,,0.0208289,0.0258854,0.0283592,0.0295165,0.0339151,,,8145.713163,5734.4841553,6422.6411484,6547.9793357,7837.3909182,,,0.0202308,0.0290109,0.0318253,0.0330481,0.0356817,,
67,0.165,0.0172657,0.0176418,,,0.138,0.193,5033.7656256,12912.6738047,16671.886066,23677.786232,34862.667874,,,0.0257653,0.0180661,0.0182723,0.0197152,0.0198483,,,6951.82,12096.68,15398.02,20605.49,30987.1,,,0.0169244,0.0168761,0.0171571,5496.5735727,3914.8413553,4230.3853003,4655.9945025,3885.5360335,,,0.0262051,0.0183398,0.0187516,0.0205074,0.015773,,,10374.095068,3571.0603191,3687.5191023,3906.2670109,4359.630156,,,0.0257653,0.0180661,0.0182723,0.0197152,0.0198483,,
68,0.167,0.0127353,0.0392424,,,0.14,0.196,1986.0905086,10324.4480711,15292.609315,26750.1062359,54289.6463964,,,0.0101658,0.0144449,0.0167606,0.0222734,0.0309086,,,5127.727,15929.56,24937.63,41924.38,68927.59,,,0.022287,0.0273315,0.0349082,1819.2549931,2855.6091153,3553.815025,4602.3607103,6674.0813865,,,0.0086734,0.0133776,0.0157527,0.0202711,0.0270928,,,4093.1368845,2855.2743902,3382.4480775,4413.1261472,6789.0036541,,,0.0101658,0.0144449,0.0167606,0.0222734,0.0309086,,
69,0.17,0.0098241,0.0138692,,,0.142,0.199,1594.732171,8583.1186787,10949.0032904,15279.2840191,24589.4473951,,,0.0081626,0.0120086,0.012,0.0127222,0.0139995,,,3955.54,7828.591,10634.96,14532.13,24360.7,,,0.010953,0.0116559,0.0121001,1846.0920741,2576.5516672,2647.2232941,2909.061946,3569.3534072,,,0.0088013,0.0120703,0.0117341,0.012813,0.0144895,,,3286.5859042,2373.7016044,2421.7211313,2520.7155149,3074.9481586,,,0.0081626,0.0120086,0.012,0.0127222,0.0139995,,
70,0.173,0.0094429,0.007302,,,0.145,0.203,1821.9065661,4814.9472011,7151.8065211,9584.0443174,14424.6771246,,,0.0093254,0.0067366,0.0078383,0.0079801,0.0082124,,,3802.076,5557.087,7601.032,9429.602,12825.59,,,0.0077749,0.0083307,0.0078515,1778.3108975,1377.2578484,1733.0147999,1846.6583552,2044.8781982,,,0.0084782,0.006452,0.0076818,0.0081336,0.008301,,,3754.769953,1331.5961627,1581.8500113,1581.1375177,1803.8280263,,,0.0093254,0.0067366,0.0078383,0.0079801,0.0082124,,
71,0.176,0.0214899,0.0487954,,,0.147,0.206,6518.757456,29368.3914765,41818.7995393,57348.244653,96255.9407542,,,0.0333662,0.0410892,0.0458332,0.0477508,0.0548012,,,8652.674,22893.65,33415.44,48897.49,85707.0,,,0.0320304,0.0366231,0.0407143,7050.2389218,8799.4053625,10533.2907878,11514.5718835,14008.9333322,,,0.0336123,0.0412224,0.04669,0.0507161,0.056868,,,13434.5169409,8121.9659866,9249.560699,9461.0853408,12036.9532109,,,0.0333662,0.0410892,0.0458332,0.0477508,0.0548012,,
72,0.179,,,,,0.15,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.182,,,,,0.152,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0.185,,,,,0.155,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.188,,,,,0.157,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.191,,,,,0.16,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0.194,,,,,0.162,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.197,,,,,0.165,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.2,,,,,0.167,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.203,,,,,0.17,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.206,,,,,0.172,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0.209,,,,,0.175,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.212,,,,,0.177,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0.215,,,,,0.18,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.218,,,,,0.182,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.222,,,,,0.185,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0.225,,,,,0.188,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.228,,,,,0.19,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.231,,,,,0.193,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
